URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.amazon.co.uk/fire-tv-stick-with-alexa-voice-remote/dp/B08C1RR8JM,0.05,578,70405,0,17,295,34,279,0,33,70112,321,68632,0,-21442
https://www.amazon.co.uk/PlayStation-9395003-5-Console/dp/B08H95Y452,0.03,532,50612,0,27,208,62,235,0,455,47842,1214,49132,0,-43686
https://www.amazon.co.uk/Saltburn-Barry-Keoghan/dp/B0CGHXXVRN,0.03,490,39203,0,10,253,6,67,0,104,38908,5,31187,0,2438
https://www.amazon.co.uk/Barbie-Margot-Robbie/dp/B0CB1VP5RB,0.02,472,30012,0,4,235,20,83,0,12,28614,1366,5118,0,20558
https://www.amazon.co.uk/fire-tv-stick-4k/dp/B0BTFRN4K6,0.01,377,24964,0,13,148,21,175,0,37,24805,5,24889,0,3363
https://www.amazon.co.uk/Samsung-Galaxy-Android-Smartphone-Phantom/dp/B09NRXBD9H,0.01,84,19712,0,1,41,4,45,0,0,19703,6,19712,0,13200
https://www.amazon.co.uk/AM-Arctic-Monkeys/dp/B00DKY4LBW,0.01,78,17805,0,1,51,3,45,0,0,17771,33,17755,0,-187
https://www.amazon.co.uk/Reacher-Season-1/dp/B09MKZP259,0.01,135,17710,0,2,78,2,49,0,91,6524,7,15522,0,2215
https://www.amazon.co.uk/Lessons-Chemistry-Debut-Bonnie-Garmus-ebook/dp/B099JC5HQK,0.01,67,17011,0,7,41,4,39,0,79,16731,200,16873,0,-1520
https://www.amazon.co.uk/AA-Route-Planner-EP-Part/dp/B015TTR67G,0.01,231,15532,0,1,167,130,75,0,14,3100,14526,971,0,15451
https://www.amazon.co.uk/echo-dot-2022/dp/B09B96TG33,0.01,183,14462,0,6,88,27,107,0,121,14299,80,14314,0,-671
https://www.amazon.co.uk/Google-Pixel-Unlocked-Smartphone-wide-angle/dp/B0BDK63RF3,0.01,229,14191,0,7,73,14,95,0,11,13191,603,14154,0,7062
https://www.amazon.co.uk/ring-video-doorbell-by-amazon/dp/B0931VRJT5,0.01,487,13864,0,34,200,58,197,0,203,13595,86,6033,0,-124
https://www.amazon.co.uk/John-Wick-Chapter-Keanu-Reeves/dp/B0B6QMKQ18,0.01,318,13521,0,0,244,10,149,0,0,13283,323,11621,0,2094
https://www.amazon.co.uk/Samsung-Galaxy-Ultra-256GB-Phantom/dp/B0BV2KZVNY,0.01,176,13306,0,0,90,16,117,0,0,12980,6,13289,0,-2644
https://www.amazon.co.uk/Clarksons-Farm-Season-2/dp/B0B6VN591N,0.01,217,13241,1,7,119,8,58,0,200,11867,27,10706,0,127
https://www.amazon.co.uk/Sound-Freedom-Jim-Caviezel/dp/B0CK74F7T9,0,181,12304,0,1,149,5,69,0,6,11953,337,3197,0,5455
https://www.amazon.co.uk/Sony-PlayStation-500GB-Console-Black/dp/B00BE4HOIM,0,273,12296,0,18,81,29,121,0,11,10013,15,11939,0,1598
https://www.amazon.co.uk/Citadel-Season-1/dp/B0B8TQ6SCR,0,100,12108,0,0,52,5,21,0,0,11476,27,11182,0,-369
https://www.amazon.co.uk/Manifest-Season-2/dp/B08CJB46R2,0,233,12025,0,5,153,2,13,0,615,11474,4,365,0,66
https://www.amazon.co.uk/Summer-Turned-Pretty-Season/dp/B0BZWVDX2C,0,94,11938,0,0,46,1,13,0,0,11933,1,340,0,-52
https://www.amazon.co.uk/Oppenheimer-Cillian-Murphy/dp/B0CGP2GM1T,0,314,11922,0,1,191,36,95,0,3,7854,4154,6055,0,-683
https://www.amazon.co.uk/PlayStation-5-DualSense-Wireless-Controller/dp/B08H99BPJN,0,169,11722,0,8,128,7,131,0,51,11567,7,11589,0,518
https://www.amazon.co.uk/fire-hd-8/dp/B09BG9FTXP,0,169,11653,0,1,100,17,115,0,2,11384,25,11640,0,1203
https://www.amazon.co.uk/Wordle-Challenge-Puzzles-anywhere-anytime/dp/0711280401,0,155,11287,0,0,14,1,7,0,0,6227,1,151,0,11145
https://www.amazon.co.uk/Ends-Us-Colleen-Hoover/dp/1471156265,0,103,11209,0,4,55,1,33,0,4,11199,0,2952,0,-89
https://www.amazon.co.uk/Xbox-RRT-00007-Series-X/dp/B08H93GKNJ,0,360,11116,0,12,130,46,143,0,6,9942,808,10647,0,2884
https://www.amazon.co.uk/Cosrx-Advanced-Snail-Mucin-Essence/dp/B00PBX3L7K,0,119,11102,0,7,75,5,72,0,13,11082,1,11062,0,2999
https://www.amazon.co.uk/Five-Nights-Freddys-Josh-Hutcherson/dp/B0CKZLGPGJ,0,466,11031,0,1,233,5,130,0,0,10689,9,9968,0,5569
https://www.amazon.co.uk/Reacher-Season-2/dp/B0CH99CVQ4,0,307,11028,0,0,179,1,38,0,0,10598,0,1047,0,-3502
https://www.amazon.co.uk/Laws-Power-Robert-Greene-Collection/dp/1861972784,0,133,10951,0,14,85,8,42,0,22,10838,79,3682,0,-554
https://www.amazon.co.uk/fire-hd-10-tablet/dp/B08F681PH6,0,156,10904,0,2,75,25,99,0,5,9657,838,10883,0,-1367
https://www.amazon.co.uk/Fisher-Price-K6070-Rainforest-Jumperoo-model/dp/B000LXQVA4,0,96,10868,0,1,25,22,59,0,0,7321,3412,10865,0,156
https://www.amazon.co.uk/Apple-Airpods-Charging-latest-Model/dp/B07PZR3PVB,0,330,10854,0,4,138,94,238,0,0,8433,526,10810,0,2818
https://www.amazon.co.uk/House-Season-1/dp/B00FZK06UY,0,336,10814,0,1,255,18,187,0,0,9983,822,9989,0,4449
https://www.amazon.co.uk/Oculus-Quest-Advanced-All-One/dp/B0973RP7H3,0,462,10618,0,68,203,20,203,0,3220,9550,342,3996,0,-2222
https://www.amazon.co.uk/xXx-Return-Xander-Official-Novelization/dp/1785655140,0,4,10505,0,0,3,0,0,0,0,10505,0,0,0,10505
https://www.amazon.co.uk/fire-tv-stick-4k-max/dp/B0BTFSYWWB,0,442,10376,0,23,165,20,190,0,395,9815,5,9742,0,623
https://www.amazon.co.uk/Love-Actually-Laura-Linney/dp/B00GKX22HA,0,181,9501,0,0,102,2,78,0,0,9361,137,9357,0,-401
https://www.amazon.co.uk/Sleeping-Under-Stars-Explicit-Memoirs/dp/0970695608,0,24,9329,0,0,19,0,2,0,0,9327,0,913,0,7366
https://www.amazon.co.uk/Last-Us-Season-1/dp/B0BX1CXBWC,0,382,9084,0,1,144,1,61,0,0,9026,5,6637,0,-2546
https://www.amazon.co.uk/Didi-Kempot/dp/B077N9S4VL,0,4,9043,0,0,3,1,0,0,0,9043,4,0,0,7538
https://www.amazon.co.uk/Succession-Season-1/dp/B07HYBCF4C,0,204,8971,0,1,154,2,49,0,2,8662,296,1431,0,596
https://www.amazon.co.uk/Yellowstone-Season-1/dp/B08MD2Z6DT,0,197,8794,0,0,124,6,39,0,0,8194,482,4633,0,2143
https://www.amazon.co.uk/Flow-Psychology-Experience-Csikszentmihalyi-Jul-01-2008/dp/0061339202,0,56,8728,0,1,42,2,30,0,6,8719,2,1317,0,7726
