,rate,user,comment,comment_time,helpful
0,5 stars,Victor Guimarães,ate então gostei dessa exteção pelo oque ja me motrou mas ainda tenho muito que aprender sobre ela,2024-04-04,
1,5 stars,Alex Hurni,top,2024-04-01,
2,5 stars,Manolo Garcia,very good,2024-03-30,
3,5 stars,Estronite,"god damn, this good",2024-03-26,
4,5 stars,jesus jiménez,,2024-03-18,
5,1 stars,Lisha Malkova,Не работает,2024-03-12,
6,5 stars,Josue Cruz,it´s good,2024-03-10,
7,5 stars,mohmead jasem,good,2024-03-04,
8,5 stars,Miklo Rocha,Awesome!,2024-03-02,
9,5 stars,Gustavo Ortiz,Honkon fuii,2024-03-01,
10,1 stars,V Vishneviy,,2024-01-23,
11,5 stars,Cristian Gonzalez,excelente,2024-01-04,
12,5 stars,João Vitor Alves Torres,muito bom,2024-01-02,1 person found this review to be helpful
13,1 stars,Junior Fuentes,"These idiots below me giving 5 stars are stupid, LOL!",2023-12-29,5 out of 6 people found this helpful
14,5 stars,Emporio di Scansano,MOLTO UTILE,2023-12-19,
15,5 stars,Mateo miyauchi,Very good.,2023-12-04,1 out of 2 people found this helpful
16,1 stars,Kogard,,2023-12-03,1 person found this review to be helpful
17,1 stars,Makes6 str,Даже и не пыталось найти купоны.,2023-11-28,1 person found this review to be helpful
18,5 stars,Mar Franco,MUY BUEN RESULTADO,2023-11-27,1 person found this review to be helpful
19,5 stars,adil aboulmajd,,2023-11-16,
20,5 stars,Fedele Lupis,Ottimo,2023-11-04,
21,2 stars,Alexander Alexandrovich (Alexander A.),aliexpress.ru -- нет доступа в настройках расширения к этому домену,2023-10-04,3 out of 4 people found this helpful
22,5 stars,OZOO,OTTIMA,2023-09-01,
23,5 stars,Amdjad AT,super,2023-09-01,1 out of 3 people found this helpful
24,5 stars,Andrey Safronov,Отлично будем тестировать.,2023-07-28,2 out of 3 people found this helpful
25,5 stars,Matteo Bianco,top perfetta,2023-07-27,
26,5 stars,Fame Fornn,"Amei, melhores cupons do ali, achei um de 700 de desconto",2023-07-25,
27,5 stars,Екатерина Кузнецова,Отлично!,2023-07-20,1 out of 2 people found this helpful
28,5 stars,kari sou,super,2023-07-06,2 out of 2 people found this helpful
29,5 stars,Sen Wang,Отлично!,2023-06-14,1 out of 2 people found this helpful
