,rate,user,comment,comment_time,helpful
0,5 stars,Erion Dervishi,"This tool is a secret weapon for onliine gaming and browsing. Plus, ReplyPal extension takes it to the next level with GPT-4, enhancing my gaming setup with smart tech.",2024-04-06,
1,5 stars,Greg GAUDET,"Top! Sans rien demander, 40% de réduc soit 28€. Bravo!",2024-03-14,
2,5 stars,Joan Bryant,"This is fantastic for optimizing your browsing experience. Plus, if you're int AI, you'll love ReplyPal. It's one of my faves and integrates smoothly with ChatGPT.",2024-03-09,1 out of 2 people found this helpful
3,1 stars,Vasim,"Not working in India, search shows no result for everything.",2024-02-02,2 out of 3 people found this helpful
4,1 stars,Jirka 1198,Kupóny to nabízí ale ještě se mi nestalo že ty kupóny by byly funkční. Takže za je to je NA NIC,2024-01-31,
5,5 stars,Fernanda Frutuoso,otimo,2024-01-17,
6,5 stars,- DUBYA The WATCHMAN ON THE WALL (Deac W),Who doesn't like saving money AVAST is cool..,2023-12-29,6 out of 6 people found this helpful
7,4 stars,Gilberto Maqueda,es muy util para comparar pero en ocasion pone en comparaciones productos que no son iguales,2023-11-19,1 person found this review to be helpful
8,5 stars,Maybe Lc,muy útil,2023-11-14,1 person found this review to be unhelpful
9,5 stars,Hafiza Muntaha,love this extension,2023-10-30,9 out of 9 people found this helpful
10,1 stars,David K.,"i found out that it breaks google maps... it does not load correctly all elements of page - login info and sidebar is missing, scroll and search is acting like broken... when i turned extensions one by one, I found out that it is a fault of this one",2023-04-19,8 out of 8 people found this helpful
11,2 stars,M,Disrupts functioning of Google Maps,2023-04-14,6 out of 6 people found this helpful
12,5 stars,C,Does its job. I like that,2023-04-11,3 out of 3 people found this helpful
13,4 stars,Amit Pahariya,It is light.,2023-04-08,4 out of 6 people found this helpful
14,1 stars,Thomas Wolf,"Breaks google maps, breaks cruchbase",2023-04-06,8 out of 8 people found this helpful
15,1 stars,Vít Bezouška (ChestersCZ),Breaks google maps and celnicka.cz,2023-04-05,8 out of 8 people found this helpful
