,rate,user,comment,comment_time,helpful
0,5 stars,Cyrille COYAC,"Très bonne application.
Merci",2024-04-06,
1,5 stars,Gillian Spong,Good food item - love this with my morning cereal,2024-04-06,
2,2 stars,Florian Guisti,"When it comes to finding coupons, it's decent, but the cashback doesn't work. I've tried several times on different stores, and it doesn't register anything at all. Might as well use other extensions for codes, because this one eats your computer's memory unnecessarily for every page that loads.",2024-04-06,
3,5 stars,Narmin Mammadova,,2024-04-06,
4,5 stars,Dimitri Ruel,Bin auch so begeistert.Man kann echt sparen.,2024-04-06,
5,5 stars,Ty Knowlton,Can't express how awesome having coupert is. I don't even remember when I installed it because it's so easy to install yet I just saved $32 on something I've been saving up to buy for a while. Not the first time it's happened like this either.,2024-04-06,
6,5 stars,Albertina Campos Angelim,Os cupons foram aplicados corretamente e muito bom o atendimento online desta loja.,2024-04-06,
7,5 stars,Grace Jimoh,,2024-04-06,
8,5 stars,to to,Penger spart er penger tjent,2024-04-06,
9,5 stars,Debra Durbin,This seems to be the most consistent at tracking codes that are current. I have saved  more money using Coupert than any other tracking app.,2024-04-06,
10,5 stars,Raquel Amaral,"Não conhecia, mas fique encantada por esse app. Vale SUPER!",2024-04-04,
11,5 stars,Alex Rube,Excellent service. Thanks so much.,2024-04-04,
12,5 stars,Eugenie De Nardis,Coupert can shop around for me! Every time I save A LOT of money!,2024-04-04,
13,5 stars,gregg clark,"I AM EXSTATIC RIGHT NOW FROM THIS SITE< RIGHT AFTER  I FIND OUT MY LAPTOP IS NOW AGAIN WORKING (IT GOT A LITTLE WATER LOGGED, from getting  WET. THIS is LITERALLY a ""LIFE SAVER FOR ME"". THANK-YOU SO VERY MUCH.  OK IOUGUYS . You guys,   HAVE JUST  SAVED MY RECOVERY, A LOT  OF SLEEPLESS NIGHTS- WhERE THE GUYS DOWN (HIS BANGING OUT F   KING CAT LITTER BOX).kept me up all night!   YOU JUST SAVED MY COMPETITON POWERLIFTING GOALS ! ! !",2024-04-04,
14,5 stars,Stijn Martens,Very nice. Saved 18 euro on nordvpn,2024-04-04,1 person found this review to be unhelpful
15,5 stars,Frankie Allery,PURE AWESOMENESS...,2024-04-04,1 person found this review to be helpful
16,4 stars,Sueli Zancan,produtos muito bons,2024-04-04,
17,5 stars,Jonathan Sørensen,,2024-04-04,
18,5 stars,David Giesen,Coupert saves us so much money every week. We love using it.,2024-04-04,1 person found this review to be helpful
19,5 stars,Annick Jouannic,"Super, Merci",2024-04-04,
20,5 stars,Eric Axelsson,Amazing product 5/5,2024-04-04,
21,5 stars,Annie Molinet,Bravo Coupert ! Toujours là pour dénicher une bonne affaire !,2024-04-03,
22,5 stars,Ilayda Celik,super fonctionne sur presque tout les sites !!!,2024-04-03,
23,5 stars,Dejean Frequin,Quick and easy to use!,2024-04-03,
24,5 stars,Allan Huriaux,,2024-04-03,
25,5 stars,Daniel Miszkiewicz,"It just saved me 74$ on my Vistaprint order, Absolutely love this extension would 100% recommend to first timers. :)!",2024-04-03,
26,5 stars,Luisa Price,HELL YEAH WASNT EXPECTING $10 OFF THAT WAS AWESOMELY APPRECIATED,2024-04-03,
27,5 stars,NicoPlays HD,Did nothing and saved 20%,2024-04-03,1 person found this review to be helpful
28,5 stars,Phillip “Dukey” Stadden,SAVED ME MONEY,2024-04-02,1 person found this review to be helpful
29,5 stars,Amy Golden,Incredible! Saved me so much money! The savings took me from considering to definitely able to buy!,2024-04-02,
30,1 stars,Andrei T,Did nothing!,2024-04-02,1 person found this review to be helpful
31,5 stars,Nicoletta Casillo,Do not go without coupert!,2024-04-02,
32,5 stars,Nathalie Kujava,"Fonctionne sur la plupart des sites marchands, je recommande",2024-04-02,
33,5 stars,Jürgen Limmer,"S u p e r ! ! !  Danke für die tollen Sparangebote, die mir durch Coupert immer wieder angeboten werden. Vielen, vielen Dank und machen Sie weiter so!",2024-04-02,
34,5 stars,Nora Huin,"trop fort, j'adore!!! Heureusement que vous êtes là",2024-04-02,
35,5 stars,Maryke McLachlan,"LITERALLY SOOOOOOOO GOOD, LIKE IT WORKS AND HAS SAVED ME SOOOOOO MUCH MONEY.",2024-04-02,
36,5 stars,Gine Norf,"I wished I knew about this earlier, I could've saved so much more money. Literal lifesaver",2024-04-02,
37,5 stars,Kathleen Laurence,Feels like Christmas every time.  Thanks for helping the people out!!,2024-04-02,
38,5 stars,Christian Percocet,saves me like 20 dollars every purchase it's amazing.,2024-04-02,
39,5 stars,Richard Salazar Sr,Thanks for making it so easy.  Thanks,2024-04-02,
40,5 stars,keerthika nithiyanantham,very helpful saved me sm money,2024-04-02,
41,4 stars,Gl Transporte,Produtos ótimos.,2024-04-02,
42,5 stars,Dolia,Richtig genial,2024-04-01,
43,5 stars,Baby Lyn Marcha,very helpful to save...thank you!,2024-04-01,1 person found this review to be helpful
44,5 stars,Andrew Van Der Klei,So easy to use and makes it easier to further discount products you are purchasing.  Love it!,2024-04-01,1 person found this review to be helpful
45,1 stars,Kathrin Sapiha,"Installed because it claimed to have a coupon for a shop and then turned out, it did NOT. Garbage!",2024-04-01,1 person found this review to be helpful
46,5 stars,Chaz da Greengo,always nice to able to save money on purchases .,2024-04-01,
47,5 stars,Vera Uyleman,I wished I had known about Chewy several years ago! They are the best!Customer service is very helpful and auto ship   helps you save 5%.I recommend them highley.Best company to deal with!,2024-04-01,
48,5 stars,Naveen Vangipurapu,"Just saved $15 dollars. Great extension, love it!!",2024-04-01,
49,5 stars,David Christal,"I've been using this as I outfit my RV van conversion and it's saved me close to $1000 so far.  If you're doing serious shopping, the is a serious must have.",2024-04-01,
50,5 stars,danielle jumelle,Merci pour ce code promo . c'est super,2024-03-31,
51,5 stars,"Dana, Aussie Cloth Mum!","Absolute champion of an extension! Just saved $20 on one item! 10/10! love coupon extensions, well worth the small effort to set up!",2024-03-31,
52,5 stars,Earle Munns,great choice for online,2024-03-31,
53,5 stars,Isaac Tesson,topppp,2024-03-31,
54,5 stars,stefman 2B,Le top !,2024-03-31,
55,1 stars,Moh DeBr,SCAM! They take affiliate commissions but you benefit nothing only a waste of time,2024-03-30,4 out of 5 people found this helpful
56,5 stars,Thomas O'Cain,Thank you! It's nice to save money.,2024-03-30,
57,5 stars,André Løvestam,Imponerende besparelse med denne tjenesten. :),2024-03-30,
58,4 stars,Sahan DA,,2024-03-30,
59,5 stars,nathalie,Super contente la remise a fonctionnée. Merci beucoup :-),2024-03-30,1 person found this review to be helpful
60,5 stars,françoise pierrisnard,merci beaucoup une remise ça fait toujours plaisir. Françoise pierrisnard,2024-03-30,1 person found this review to be helpful
61,5 stars,Christ Is Lord,thank you!!,2024-03-30,1 person found this review to be helpful
62,5 stars,Liane Reyes,I LOOOVE Coupert! Savings upon savings I didn't know I could get! Thank you!,2024-03-30,
63,5 stars,Andreea Theodora,,2024-03-30,
