,rate,user,comment,comment_time,helpful
0,5 stars,Soumyoraj Mallick,Good,2024-03-22,
1,5 stars,Sanjeev Kumar,,2024-03-01,
2,5 stars,Saurabh ʕ •ᴥ•ʔ,"I have been using it since 2 years now, and it was really helpful. Good Work!",2024-02-28,1 person found this review to be helpful
3,5 stars,Aaditya Chandankar,"Awesome, can make you save many bucks, always use this extension before purchasing anything",2024-02-21,2 out of 2 people found this helpful
4,2 stars,santhosh santy,what is difference between amazon price and amazon min price? can someone help by explaining it.,2024-02-07,0 out of 3 people found this helpful
5,5 stars,S Kanageswari,,2024-01-22,
6,5 stars,Akash Mishra,Its just amazing I can Track the prices and get products at the lowest prices without getting scammed,2024-01-19,
7,5 stars,Abhiram Tb,"IT'S REALLY HELPFUL FOR ME . GOOD AND EFFICIENT I GIVE 5 OUT OF 5 ,RATINGS ON 2024 ...............................................",2024-01-18,
8,5 stars,Arun,nice,2024-01-11,
9,5 stars,Chayachitrikaran,VERY HELPFULL EXTENSION. PRICE COMPARISION AND THE LOW PRICE ALERT ARE THE BEST FEATURES.,2024-01-04,
10,5 stars,Richie Rich,"very useful extension. Very good for tracking prices. I'm notified when prices drop, and it also shows colours to indicate the good time to buy like red when price is high and green when it is low. It works on all websites and the auto apply coupon feature is fantastic. I highly recommend trying it because it has helped me save money easily.",2024-01-03,
11,5 stars,Ashok Kumaar,WANNA SHARE FEEDBACK HERE . ACTUALLY THIS EXTENSION WAS VERY GOOD AND ACCURATE . IT REALLY HELPED ME IN PURCHASING THROUGH ONLINE . I BOUGHT MY NEW PHONE ON LOW PRICE USING THIS TO TRACK OFFERS AND BEST PRICE . I FELT ITS LAGGING MY BROWSER SOMETIMES . OTHER THAN THIS ALL GREAT . THANK U,2024-01-03,
12,5 stars,Asfalt Racer,it is a very helpful and one of the best extension i have ever used for price tracker its supper amazing to see the price of after and before i used it since so many days and the best part is price alert alarm it help me 2 times and i saved so much money i ordered 2 products when price drops and the alarm alerts me about it.Special thank you so much of money....VENOM'S TECH ARMY 😈❤️,2024-01-03,
13,5 stars,Sajid ahmed Shaik,"what an extension this is 
really great one
i loved its features and have been using it daily",2024-01-02,
14,5 stars,Ayaz shaik,"what an extension this is 
really great one
i loved its features and have been using it daily",2024-01-02,
15,5 stars,Shreekar Gamer,Just downloaded buyhatke and i am really exited to use it.,2024-01-02,
16,5 stars,HANSAJ Chaurasia,I am a new user to buyhatke looking forward to using it . its a very interesting concept of tracking the price of the products online and also being able to check the lowest price of the product,2024-01-02,
17,5 stars,Om Gupta,"I see this extension on my friend's PC I want to install it but I can't find it thanks to BuyHatke for sponsoring the Venom tech so I can find you, I can use it.",2024-01-02,
18,5 stars,Shubham Goswami,"BuyHatke is a must-have Chrome extension for savvy shoppers! It effortlessly provides a product's price history, helping me make informed decisions. The clean interface, real-time tracking, and compatibility with various retailers make it indispensable. It's my go-to tool for snagging the best deals. Kudos to the developers for a game-changing extension! Highly recommended!",2024-01-01,
19,5 stars,Jatin Kapoor,"A few days ago, I had purchased a Gaming mouse for myself at half rate from Amazon with the help of this tool.  This tool's features like Email price alert, Average price graphs, Price history of 3 months, Price tracking, compare prices, Automatic Coupon finder, have proved to be quite useful.  The user interface of this extension is very good and easy to use and also supports 100+ online stores. There is no doubt that BuyHatke is the best online shopping tool I have used.",2024-01-01,1 person found this review to be helpful
20,5 stars,Viz,Give the makers a raise !,2024-01-01,1 person found this review to be helpful
21,5 stars,Hari Krishna,Hi as a teen age person who shops quite few times in the online platforms this website was a useful one for me. I heared about this type of websites in previous months but i don't think they are trustable but after the A2D video i have a trust on this website. SO after installing this chrome extension it was helpful for me to track the price history of the produscts allows me to savw some quite amount of money Thanks A2D and buyhatke,2023-12-31,
22,5 stars,PushKar Chopra,"As a student who tries not to spend too much of my parents' money, BuyHatke is like my money helper. It's like having a deal guru who's making sure I don't miss out on any discounts.

It notifies me when a product drops to my set price, a super handy feature for tracking prices and saving me money. Plus, it has an indicator which flashes red for when the price is high and green when it's a good time to buy, and also checks if the same thing is cheaper elsewhere online. Smart, right?

It's dif... Show more",2023-12-31,1 person found this review to be helpful
23,5 stars,Leo Malhotra,Very nice extension and i found it very helpful in considering things to buy or wait as per pricing,2023-12-31,
24,5 stars,Jaswinder Singh,"I hope this message finds you well. I wanted to take a moment to express my sincere appreciation for the exceptional services provided by BuyHatKe. As an avid online shopper, I've always been on the lookout for a reliable platform that not only keeps me informed about the historical rates of products on major online markets like Amazon and Flipkart but also offers an effortless and enriching user experience.",2023-12-31,
25,5 stars,DIVYANSHU SINGH KUNWAR,"Dear Buyhatke Team,

I hope this message finds you well. I am writing to express my utmost satisfaction and appreciation for the exceptional service provided by Buyhatke. My experience with your platform has been nothing short of outstanding.

From the intuitive interface that made product comparisons a breeze to the real-time price tracking that ensured I never missed a great deal, Buyhatke has truly become my go-to tool for online shopping. The accuracy of price comparisons and the timely a... Show more",2023-12-30,
26,5 stars,Arun Sharma,"Loved the price graph history! Its very useful to know the valid & least price of the product, and helps in making a good purchase. Looking forward to use BuyHatke more and more in future!",2023-12-30,
27,5 stars,Future Goal,This is really very good extension and it has helped me a lot. Thank you very much for this kind of extension.,2023-12-30,
28,5 stars,Saurabh Yadav,This is one of the best extension for chrome which helps us to see price drop of products.,2023-12-30,
29,5 stars,Pratish Mallya,"Very nice extension, easy to understand and use",2023-12-30,
30,5 stars,ANUJ SAHU,I am using it form several days it works pretty well recommend to all who do online shopping,2023-12-30,
31,5 stars,Muventhan T,"it is referred by my friend raghul and its worth what he expressed , this one is good extension , i love it thanks for him",2023-12-29,
32,5 stars,Vibhu eepl,"Buyhatke Extension is a price discovery platform that helps me find the best deals on products they want to buy. The extension features like price comparison, price drop alerts, and coupon codes for various e-commerce websites. The user interface is user-friendly and easy to navigate. It is the best platform I have come across. Thanks to Venoms Tech for making the video and informing me about the best price discovery extension.",2023-12-29,
33,5 stars,Johnny Sins,This extension is good . #A2D,2023-12-29,2 out of 2 people found this helpful
34,5 stars,Munazim Ashraf,"This is a fantastic extension . I just Check The Price of some product the drop is almost 50 to 60% in price i was going to buy them but now i will wait for price drop i have also set an alert of price drop.
LOve this extension . THe top 5 extension of this year of my list is 
1:- buy hatke 
2:- Buy Hatke
3:- Buy Hatke
4:- Buy Hatke
5:- Buy Hatke 
THank you for this awsome extension LOve this❤️❤️❤️❤️❤️❤️",2023-12-29,
35,4 stars,Karthikeyan R,In the Price graph the two points have the same color which is hard to distinguish with contrasting colors we can clearly see the difference to act on the purchase. this might help in future purchases also.,2023-12-29,1 person found this review to be helpful
36,5 stars,Jawaharlal Nehru,It has a very good interface and it shows otherwebsite prices,2023-12-29,
37,4 stars,Kannan babu,It has a very good interface and it shows otherwebsite prices I hope i willl continue this extension for all my purposes!(A2D),2023-12-28,
38,5 stars,O MJ,"Buyhatke is the best website because I search lots of products online but I every time confused that's a value for money or not that such cheapest price or not cheapest
 price but when I know about buyhatke by venom's tech after that my online shopping and surety, reliability I buy any product in cheapest price and I save my money through buyhatke and that price alert facility is best because whenever prices drop I quickly gate notification and I grab that offer",2023-12-28,
39,5 stars,OM JUNARE,"Buyhatke is the best website because I search lots of products online but I every time confused that's a value for money or not that such cheapest price or not cheapest
 price but when I know about buyhatke by venom's tech after that my online shopping and surety, reliability I buy any product in cheapest price and I save my money through buyhatke and that price alert facility is best because whenever prices drop I quickly gate notification and I grab that offer",2023-12-28,1 person found this review to be helpful
40,5 stars,Ravi Chouhan,"very nice and useful extensions, Save money save Life",2023-12-28,
41,4 stars,Deepak M,"on of my fav extension i ever seen 
i would easily find the coupon code and price drop from the e commerce websites I recommend all of you to install and use it
and i have already commented on software issue they fixed out the issue very early...  ",2023-12-27,
42,5 stars,Hafijur Rahaman,"I recently used the BuyHatake extension and the experience was nothing short of fantastic.The extension seamlessly integrated my browsing, enhancing my online shopping journey. The Buyhatke Extention  interface is user-friendly design made it easy to navigate and find the best deals. 
BuyHatke extension pops up on my shoping website, and  announcing a price drop on my dream item . And when the product price goes to lowest price point BuyHatke alert me then i decide to buy my dream product
Buy... Show more",2023-12-27,1 person found this review to be helpful
43,5 stars,Archanesh Shirsath,"""buyhatke give us detail analysis of product price history so easy to select low price product"".",2023-12-26,
44,5 stars,saraswathi R,"Subject: Positive Feedback for Buyhatke

Dear Buyhatke Team,

I hope this message finds you well. I wanted to take a moment to express my appreciation for the exceptional service and experience I have had with Buyhatke. As a loyal customer, I felt compelled to share my positive feedback.

First and foremost, I want to commend your platform for its user-friendly interface. Navigating through the website was a breeze, and the seamless integration of various features made my shopping experience ... Show more",2023-12-26,
45,5 stars,Shlok Bhokare,It has been really useful for my shopping and i used it to buy my new phone,2023-12-26,
46,5 stars,Abjas Abjas,"Actually I got to know about this extension from Venom's Tech YouTube Channel. 
This extension helps one in finding what the lowest price for that particular product you were searching for was.
It also provides us with the probability of the price getting dropped in the set time you have selected from the dropdown. You could also get email alerts for the price drops. I have been using it since 4 days and it has helped me decide if the price being shown is the discounted one or not Flipkart an... Show more",2023-12-26,
47,5 stars,Sandeep Kumar,"Buyhatke is really useful extension it is helpful in comparison and Price alerts on Online shopping.
it sends price alerts on registered emails 

Simple ,easy and Very useful.

If i got the CPU shown in ""Venoms tech""
I'll donate my Current Pc to some one needy.",2023-12-26,
48,5 stars,Guru,I just ordered a book with the help of BUYHATKE. It provided me with useful insights about its past and present prices .Thank you for VENOMS TECH for recommending it!!!,2023-12-25,
49,5 stars,Pratham Langi,"i like this extension it's very useful for online shopping, price compare or shopping voucher for free thank for useful extension",2023-12-25,
50,5 stars,Yugendran Balaji,"While the coupon feature is fantastic, the price predictor's accuracy varies. It's excellent for computer components but lacks consistency for other products. Enhancing overall prediction accuracy and integrating the extension better into the browsing experience would greatly improve usability. The disjointed separate screen detracts from the otherwise valuable insights. Your efforts are appreciated, and refining these aspects would amplify the extension's usefulness. I'm eager to see these i... Show more",2023-12-24,
51,5 stars,Gaming And Tech GT,"One of the best website to do online shopping  . Here are the pros:
1.Price alert 
2.Coupons and deals
3.Compare price 
4.Prices history
Cons:
i have not seen any single drawback of this website so according to me it is one of the best extension you can use in online shopping.",2023-12-24,
52,5 stars,vijay jamdade,"A massive THANK YOU for being my online shopping superhero for the past 6 to 8 months. Seriously, you guys rock!

Price Alerts Magic: Your real-time price drop alerts are like my secret weapon for scoring sweet deals. Saving money has never been this fun!

Browser Extension FTW: The way your extension seamlessly slides into my browsing world is just genius. Comparing prices is a breeze, and I can't imagine online shopping without it now.

Coupon Wonderland: Your coupon section is like my trea... Show more",2023-12-24,
53,4 stars,Azar Azar,It is a wonderful extension for the online buyers. Then make it Android version for mobile uses because mobile is an carrible thing so it will easy way to approch the extension. And make the extension process more easier to understand.,2023-12-24,
54,5 stars,விவசாயி,Make a Mobile app for mobile user. It increase you user.,2023-12-24,
55,5 stars,Sharath Kumar,"Really its very useful extension and it's difficult to find the loop holes. Because this extension has everything as per the user expectations. I feel bad about how i missed this useful extension in my past shopping. From now, i will start recommend this extension to all my friends and make them shopping experience more better.

I recommend 'BuyHatke' to launch this extension for all the other browsers and application for mobile platforms as well.",2023-12-24,
56,5 stars,Raihan AR,"First of all I really Thanking you because of your extension. You doing amazing work. No one can replace you. I am getting more offers and deals only by you. I could save more money. Thanks to BuyHatke Team. Some product's price drop does not shown well please fix it. Thanking you, By A.Raihan",2023-12-24,
57,5 stars,AU210 337 RANGANATHAN R,good,2023-12-24,
58,5 stars,Ramankumar S,It is very useful for me to buy a mobile by comparing a price from past to present history to get a product for like affordable or even in minimum price and not get trapped by a high price and i guess its gonna useful for me to get a 100000 PC as well ,2023-12-24,
59,5 stars,Dhanush kumar.R,try to launch mobile app. If its like a mobile app its very useful for everyone.There is no add in this extension thats a good one.,2023-12-24,
60,5 stars,pritesh dhole,Very Good extension for checking price of your beloved product. The price graph feature is amazing.,2023-12-24,
61,5 stars,Divek _2114,good for shopping and getting best offers and price,2023-12-24,
62,5 stars,DharmiK,"i always wanted a price tracker here it is, this is going to help me a lot thank u btw i want that pc from venoms tech :))",2023-12-24,
63,5 stars,Davil Pratham,It is very helpful for me i have seen many things since I got this application. I also recommend it to my many friends about it thank you,2023-12-24,
64,5 stars,Nikhil Bathla,"GOOD APP best tool for amazon 
This app is very useful",2023-12-24,
65,5 stars,BIBHU SHANDILYA,"great tool for shopping as my favourite the price graph history so you can compare the current price with the previous pricing. I found the other features as - Compare Prices ,
Coupons and Deals , It Apply Coupons automatically , Show Related Deals etc most helpful. So i suggest everyone who do their shopping online they must use the app its verry helpful.    
                                                       thanks",2023-12-23,
66,5 stars,Laxminarayan Sahu,very nice and helpful for  shopping bad gaming products,2023-12-23,
67,5 stars,Md Asif Quiyoom,"""Wow, I really love the price history extension! It's so useful to track the price changes and make informed purchasing decisions. The Extension is user-friendly and provides accurate data. Keep up the great work!",2023-12-23,
68,5 stars,Uday Singh Ahlawat,"I really like this extension to say the least.
but i like to suggest to give this extension a more mordern look otherwise everything is good.
Here from VENOMSTECH's youtube channel.",2023-12-23,
69,5 stars,Aryan Sharma,It is one of the best extension i have ever seen .This software make me to buy a better products online from any website.,2023-12-23,
70,5 stars,Mritunjay Mishra,this is the most usefull extension. Literally this extension saved my so much hard earned money i recommend everyone to use this extension for online shoping,2023-12-23,
71,5 stars,Bhavesh Namdev,"One of the highlights of BUY HATKE extension was the seamless integration with various online stores. It allowed me to compare prices, read reviews, and make informed decisions before making a purchase. The extension even provided notifications for discounts and deals, ensuring that I never missed out on a great offer
In conclusion, I highly recommend BUY HATKE extension. Its user-friendly interface, integration with multiple stores, secure transactions, and excellent customer support make it... Show more",2023-12-23,
72,5 stars,InK DXD,"Buyhatke extension has been a game-changer for my online buying.
The rate comparison characteristic is a lifesaver, supporting me snag the best offers results easily. Real-time indicators and seamless integration with numerous websites make the complete manner a breeze.
The person interface is intuitive and I love the introduced bonus of coupon suggestions. Your crew's dedication to everyday updates hasn't long gone not noted.
Thanks for making online buying smarter and extra exciting.",2023-12-23,
73,5 stars,PK Mishra,"VENOMSTECH YT bhaiya thankyou for recommending such a great extension now their is no need to browse the product again and again for price drop 

we can easily track and compare prices with just one click using this extension by using his price tracking feature

I loving it thank you venomstech bhaiya and buyhatke",2023-12-23,
74,5 stars,sidharath Giri,Bye hatke program is very useful and handy feature that can allow me Track price and make my choice better and with pocket friendly,2023-12-23,
75,5 stars,kakarot,This extension is much needed for online buyer. Thank you Buyhatke,2023-12-23,
76,5 stars,Chandan Kumar,"I wanted to take a moment to express my sincere opinion for the outstanding service provided by your price alerting on amazon using this extension. As an avid online shopper, I buy several products for my pc build more over i had also recommended this extension for so many of my family and friends. I have used several similar platforms, but none have surpassed the seamless and efficient experience I've had with Buyhatke. 

Nice job guys keep it up, look forward for more updates 

Thank you 

... Show more",2023-12-22,
77,5 stars,Mondal gamer,Good experience,2023-12-22,
78,5 stars,Sharad Patel,very nice extention,2023-12-22,
79,5 stars,Anuj yadav,very nice extention i really like it.,2023-12-22,
80,5 stars,Gautam Soni,"VERY NICE ,HANDY AND HELPFUL EXTENSION 
THIS IS MY FIRST EXTENSION (OF COMPARING PRICES ONLINE) AND IT IS LEGIT ASSISTING ME AND HELPING ME FINDING BEST PRICES AND COMPARING PRICES TIME TO TIME 
REALLY APPRECIABLE EXTENSION
WILL LOOK FORWARD WITH NEW AND INCLUSIVE FEATURES.....
THANKS...",2023-12-22,
81,5 stars,Nehul Kumar Birua,VERY NICE AND HELPFUL EXTENSION FOR SHOPPING AND COUPOUNS,2023-12-22,
82,5 stars,Ruma Singha roy,Very Helpful website,2023-12-22,
83,5 stars,Indrajit Roy,NICE,2023-12-22,
84,3 stars,Shre_yash Mishra,Didn't notify me during the price drop period even if the email I shared was active. Even the price graph was not real time and the past price mentioned was not always correct.,2023-12-22,
85,5 stars,Ashad Khan,"amazing evtension,saves a lot of money",2023-12-22,
86,5 stars,Shivam Bhawsar,VERY USEFULL!,2023-12-22,
87,5 stars,Aradhy Singh,"NOTE: Review is in Hindi
bhai main esse hee cheeze dekh raha tha aur buy hatke dikh gaya dood main sahee bata raha hun na mujhe na meri mummy aur behen ko aise cheez k baare mein maalum tha bro sabse jayada flipkart aur amazon se hee kharidte hai .. especially mien apne liye jaada magata hun to mere liye bohot useful hai
BY THE WAY mein venom bhaiyaa ki vajah se jaan paaya hu thx  aur venom bhaiyaa mene kabhi pc mein game nahee khela hai to kya pc mujhe mil sakta hai? ok itna mene likha ab ja... Show more",2023-12-22,
88,5 stars,Tushar Pulakala,useful extension,2023-12-22,
89,5 stars,Zerneus,"very good extention for shopping the price tracking is very useful, helps you save alot of money",2023-12-22,
90,5 stars,Sanjeev Krishna. S,"it has features like auto coupons,price graph,price alert.etc use it you will know it",2023-12-22,
91,5 stars,Jasbir Kaur,"Title: ""BuyHatke: Your Ultimate Shopping Partner!""

Rating: ⭐⭐⭐⭐⭐ (5/5)

I recently discovered the BuyHatke browser extension, and I must say it has completely transformed my online shopping experience. This ingenious tool is a game-changer for anyone who loves to shop smartly and save money effortlessly.

One of the standout features of BuyHatke is its price comparison functionality. As I browse through my favorite online stores, the extension seamlessly compares prices across multiple platf... Show more",2023-12-22,
92,5 stars,mehak pannu,Buyhatke! Kya mast cheez hai bhai.Maine kuch din pehle hi add kiya tha isse aur maine sbabse kam  rate mei earbuds order kiye.To isi liye mai to abb roz ise Istemaal Karunga.Dhanyawaad Buyhatke,2023-12-22,
93,5 stars,Gamer 101,Very Useful extension. Its very easy to use.user interface is also friendly.i thnik everybody should use this to save money get a better shopping experience. highly recommended to all.,2023-12-22,2 out of 2 people found this helpful
94,5 stars,Abhra Sil,"This Buyhatke application is very good and I have benefited a lot from it. It helps to know a lot about the price of any item online, what was there before and what is going on now. I got many benefits by using this app.
I think many people would benefit from using this app before buying anything online.",2023-12-22,
95,5 stars,Daksh,"Very useful, even helped in buying some useful products in terms of getting them in cheap prices.",2023-12-22,
96,5 stars,Md Nadim Ali,"buyhatke is a great website where u can see the price drops and get notification on items which u select for . its really usefull even i used it many times and i loved it as i bought a chair in 3k price drop. try to use it when u shop online , u will love it .",2023-12-22,
97,5 stars,Sachin Singh,The real-time price tracking feature has helped me save money by notifying me of the best deals and discounts.,2023-12-22,
98,5 stars,Dikshit Rana,"I LIKE THIS EXTENSION VERY HELPFUL IN ONLINE SHOPPING. YOU HAVE TO SET ONLY THEN YOU WILL NOTIFIED PRICE DROP ALERT AND YOU CAN BUY YOUR PRODUCT WITH LESS MONEY, IN SHORT I WILL TELL ""PAISE BACH JAENGE AAP KE ISH EXTENSION KO USE KARNE SE "". 
THANL YOU",2023-12-21,
99,5 stars,Rajkumar Patil,"best extension ever use provide me all information about price up and down. really nice, amazing information get provide from these.",2023-12-21,
100,5 stars,hadi raza,the best part of buyhatke is when i need to buy something i go to buy buyhatke and Search that item and then i get the best price for that thing,2023-12-21,
101,5 stars,Shamim Mullick - 9039,"Very helpful for shopping online.
Will surely help save hundreds.",2023-12-21,
102,5 stars,Satish Kumar,I used this  website last 6 months  I am really  surprise that it gives me accurate  prices on online and it is very helpful for me  because it helps to save me my extra  money. thanks for       helping me to choose me correct product at  best price point.,2023-12-21,
103,5 stars,Daksh Rawat,Just wanted to drop a quick note to say your chrome extension is fantastic! loving the graph and alert feature. Great job!,2023-12-21,
104,5 stars,VasuDev Krishna,"Dear Buyhatke Team, i am subscriber of ( venom tech ) ( PRASANT SINGH DEVELOPER)

I trust this message finds you well. I have been using the Buyhatke Chrome extension and would like to share my feedback:

1. **Positive Impressions:**
   - I appreciate the extension's ability to track prices and provide real-time alerts. It has saved me money by ensuring I make purchases at the most opportune times.
   - The user interface is clean and user-friendly, making it easy to navigate and utilize the ... Show more",2023-12-21,
105,5 stars,Raj,"I like how unique your extension idea is, to show the difference in price according to the time.it is good to have your extension in my browser it helps me to find the correct time to buy specific items.",2023-12-21,
106,5 stars,Aman,"Hello 
I am Aman Bhatnagar
BUYHATKE IS A BEST EXTENSION FOR ALL PEOPLE BECAUSE BUYHATKE SAVE MY LOT MONEY  ON FLIPCART AND AMAZON BY PEICE GRAPH IT SHOW Lowest Price AND Average Price: IT IV VERY HALPFULL FOR ME ON REALTY 
THANK YOU FOR ALL TEAM OF BUYHATKE",2023-12-21,
