类别：所有类别

区域,Cadence Capsules: (2019/4/18 - 2024/4/18)
District of Columbia,100
Colorado,50
California,50
Washington,25
Massachusetts,25
Kansas,25
Virginia,25
Minnesota,25
Maryland,25
New York,25
New Jersey,25
Michigan,25
Arizona,25
Pennsylvania,25
Tennessee,25
Oregon,<1
North Carolina,<1
South Carolina,<1
Indiana,<1
Nevada,<1
Texas,<1
Missouri,<1
Illinois,<1
Florida,<1
Kentucky,<1
Georgia,<1
Ohio,<1
Connecticut,<1
Wisconsin,<1
Alaska,
New Hampshire,
Nebraska,
New Mexico,
North Dakota,
Montana,
Mississippi,
Oklahoma,
Maine,
Louisiana,
Rhode Island,
Idaho,
South Dakota,
Iowa,
Hawaii,
Utah,
Delaware,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
