类别：所有类别

区域,Compression socks: (2019/4/18 - 2024/4/18)
Montana,100
Wisconsin,97
Minnesota,96
North Dakota,95
South Dakota,95
Wyoming,95
Vermont,95
Utah,92
Tennessee,91
Michigan,91
Kansas,90
Oregon,89
Iowa,89
Delaware,87
Ohio,87
Kentucky,87
North Carolina,87
Maine,86
Nebraska,86
Washington,86
Pennsylvania,86
Indiana,86
Alaska,86
Alabama,85
South Carolina,85
Illinois,84
West Virginia,83
Arizona,83
New Hampshire,82
Hawaii,81
Missouri,81
Colorado,80
Louisiana,80
New York,79
Idaho,79
Virginia,79
Massachusetts,79
Georgia,78
Maryland,77
Connecticut,77
Oklahoma,76
Florida,76
Arkansas,76
Nevada,75
Rhode Island,74
Mississippi,73
District of Columbia,73
New Mexico,73
New Jersey,72
Texas,71
California,65
