类别：所有类别

区域,Dr. Martens boots: (2019/4/18 - 2024/4/18)
District of Columbia,100
California,69
New York,69
Maryland,61
Utah,61
Illinois,61
Oregon,53
Colorado,53
North Dakota,53
New Mexico,53
Vermont,53
Idaho,53
Washington,53
Alaska,53
Wyoming,46
New Jersey,46
Nevada,46
Montana,46
Pennsylvania,46
Massachusetts,46
Virginia,46
Arizona,38
Connecticut,38
Georgia,38
Minnesota,38
Louisiana,38
Michigan,38
Indiana,38
New Hampshire,38
Alabama,38
Texas,38
North Carolina,38
Tennessee,38
Hawaii,38
Maine,30
Oklahoma,30
Rhode Island,30
Wisconsin,30
Ohio,30
Delaware,30
Arkansas,30
Missouri,30
Kentucky,30
South Carolina,30
South Dakota,30
Nebraska,30
Florida,30
West Virginia,30
Kansas,23
Iowa,23
Mississippi,23
