类别：所有类别

区域,KitchenAid stand mixers: (2019/4/18 - 2024/4/18)
Vermont,100
Alaska,83
Maine,83
Arkansas,66
West Virginia,66
Kansas,66
Indiana,66
Minnesota,50
New York,50
Nebraska,50
Oregon,50
New Hampshire,50
Iowa,50
Michigan,50
Idaho,50
Ohio,50
Pennsylvania,50
Kentucky,50
Wisconsin,50
Colorado,33
Arizona,33
Georgia,33
Missouri,33
District of Columbia,33
Massachusetts,33
Rhode Island,33
North Carolina,33
Washington,33
Maryland,33
Utah,33
Alabama,33
Tennessee,33
Virginia,33
New Mexico,33
Illinois,33
Oklahoma,33
Connecticut,33
New Jersey,33
South Carolina,33
Texas,33
Mississippi,33
California,33
Louisiana,16
Florida,16
Nevada,16
South Dakota,
North Dakota,
Montana,
Hawaii,
Delaware,
Wyoming,
