类别：所有类别

区域,MOVA globes: (2019/4/18 - 2024/4/18)
Rhode Island,100
Nebraska,100
Iowa,100
Utah,50
Massachusetts,50
Kentucky,50
Missouri,50
Connecticut,50
Washington,50
Colorado,50
Kansas,50
Nevada,50
Oklahoma,50
Michigan,50
Minnesota,50
Arizona,50
Illinois,50
Virginia,50
Florida,50
California,50
Wisconsin,<1
New York,<1
Pennsylvania,<1
Texas,<1
Oregon,<1
South Carolina,<1
Tennessee,<1
North Carolina,<1
Ohio,<1
Georgia,<1
Indiana,<1
Maryland,<1
New Jersey,<1
Alaska,
New Mexico,
New Hampshire,
North Dakota,
Montana,
Mississippi,
Maine,
Louisiana,
South Dakota,
Idaho,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
