类别：所有类别

区域,Marc Jacobs The Tote Bag: (2019/4/18 - 2024/4/18)
Mississippi,100
Delaware,92
California,87
Texas,87
Rhode Island,87
Louisiana,85
New Jersey,85
New York,80
Georgia,80
Nevada,78
Maryland,75
Connecticut,75
Alabama,70
Florida,70
South Carolina,68
District of Columbia,68
North Carolina,68
Arizona,65
Massachusetts,65
Hawaii,63
Illinois,60
Virginia,58
Tennessee,56
Pennsylvania,53
Arkansas,51
New Mexico,48
Michigan,48
Indiana,48
Kentucky,43
Ohio,43
Missouri,39
North Dakota,39
Kansas,36
Minnesota,36
Oklahoma,36
Washington,36
Colorado,36
Wisconsin,36
Nebraska,36
Utah,34
West Virginia,29
Iowa,29
New Hampshire,29
Oregon,26
South Dakota,24
Maine,24
Alaska,24
Idaho,21
Montana,17
Vermont,14
Wyoming,
