类别：所有类别

区域,Ninja Creami Deluxe: (2019/4/18 - 2024/4/18)
Utah,100
South Dakota,72
Vermont,72
Idaho,63
Nebraska,63
North Dakota,54
Arizona,54
Michigan,45
New Hampshire,45
Maine,45
Montana,45
Ohio,45
Hawaii,45
Delaware,45
Nevada,45
Missouri,45
Oklahoma,45
New Jersey,36
Wisconsin,36
Kentucky,36
Pennsylvania,36
Washington,36
Iowa,36
Illinois,36
Minnesota,36
West Virginia,36
Maryland,36
North Carolina,36
Florida,36
Oregon,36
Tennessee,36
Indiana,36
Virginia,36
Colorado,27
Mississippi,27
California,27
Connecticut,27
Kansas,27
Rhode Island,27
Texas,27
Georgia,27
Massachusetts,27
Arkansas,27
South Carolina,27
Louisiana,27
New York,27
District of Columbia,27
New Mexico,18
Alabama,18
Alaska,
Wyoming,
