类别：所有类别

区域,Seiko watches: (2019/4/18 - 2024/4/18)
Hawaii,100
New York,82
District of Columbia,82
Massachusetts,79
California,78
New Jersey,76
Florida,75
Rhode Island,70
Nevada,70
Texas,69
Connecticut,69
Louisiana,64
New Hampshire,63
Pennsylvania,63
Alaska,63
New Mexico,62
Vermont,62
Washington,62
Illinois,62
Virginia,62
Georgia,61
South Carolina,60
Oregon,60
North Carolina,60
Delaware,59
Alabama,59
Maine,58
Oklahoma,58
Colorado,58
Maryland,58
Tennessee,57
Utah,56
Arkansas,56
Kentucky,56
Arizona,56
Kansas,54
Ohio,51
Nebraska,51
Idaho,50
Missouri,50
Minnesota,50
Wyoming,50
Montana,49
Indiana,49
Mississippi,49
West Virginia,48
Michigan,48
South Dakota,46
Wisconsin,46
Iowa,43
North Dakota,42
