类别：所有类别

区域,Smart TVs: (2019/4/18 - 2024/4/18)
Ohio,100
Mississippi,98
West Virginia,97
Delaware,94
Kentucky,92
Michigan,92
Arkansas,90
Iowa,90
South Carolina,88
Louisiana,88
Maine,88
Pennsylvania,87
North Dakota,87
Alabama,85
Georgia,84
Missouri,81
Rhode Island,81
Wisconsin,80
South Dakota,80
Indiana,78
Vermont,78
Tennessee,77
Oklahoma,77
Montana,77
Kansas,76
North Carolina,76
Wyoming,76
Nebraska,74
New York,74
Florida,74
Illinois,73
Connecticut,73
New Hampshire,73
Minnesota,69
Idaho,66
Maryland,64
Texas,64
New Mexico,63
Alaska,61
Virginia,61
Oregon,61
District of Columbia,60
Massachusetts,59
Arizona,59
Nevada,59
New Jersey,59
Colorado,56
Washington,50
Utah,50
California,50
Hawaii,45
