类别：所有类别

区域,Sorel boots: (2019/4/18 - 2024/4/18)
Minnesota,100
North Dakota,99
Montana,81
South Dakota,73
Alaska,70
Vermont,57
Wyoming,56
Wisconsin,53
Idaho,52
Colorado,49
Michigan,47
Utah,45
Iowa,44
Illinois,39
New Hampshire,36
Nebraska,35
Massachusetts,34
Oregon,34
Maine,33
Washington,31
New York,29
Indiana,22
Connecticut,22
Ohio,21
Rhode Island,21
Kansas,19
Missouri,19
Pennsylvania,19
New Jersey,16
District of Columbia,16
Alabama,14
Arkansas,13
Oklahoma,13
Tennessee,13
Kentucky,12
Nevada,12
West Virginia,11
New Mexico,11
Maryland,11
California,10
North Carolina,10
Delaware,10
Virginia,9
Mississippi,9
Georgia,9
South Carolina,9
Texas,8
Arizona,7
Louisiana,7
Hawaii,6
Florida,5
