类别：所有类别

区域,Speed cubes: (2019/4/18 - 2024/4/18)
Montana,100
Utah,80
Kansas,60
Idaho,60
Oklahoma,60
Washington,60
Nevada,60
Colorado,60
Oregon,60
Nebraska,60
Indiana,40
Minnesota,40
West Virginia,40
Hawaii,40
Texas,40
Illinois,40
Arkansas,40
Virginia,40
Missouri,40
California,40
Wisconsin,40
Connecticut,40
Iowa,40
Michigan,40
New Jersey,40
Maryland,40
North Carolina,40
Massachusetts,40
Arizona,40
Pennsylvania,40
Georgia,40
Ohio,40
Tennessee,40
New York,40
Florida,40
South Carolina,20
Mississippi,20
Alabama,20
Louisiana,20
Kentucky,20
Alaska,
South Dakota,
Rhode Island,
New Mexico,
New Hampshire,
North Dakota,
Vermont,
Maine,
Delaware,
District of Columbia,
Wyoming,
