类别：所有类别

周,Speed cubes: (美国)
2019-04-14,59
2019-04-21,45
2019-04-28,47
2019-05-05,54
2019-05-12,53
2019-05-19,65
2019-05-26,82
2019-06-02,0
2019-06-09,38
2019-06-16,56
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,42
2019-09-08,0
2019-09-15,47
2019-09-22,39
2019-09-29,42
2019-10-06,0
2019-10-13,51
2019-10-20,0
2019-10-27,0
2019-11-03,39
2019-11-10,86
2019-11-17,38
2019-11-24,47
2019-12-01,43
2019-12-08,40
2019-12-15,51
2019-12-22,40
2019-12-29,0
2020-01-05,45
2020-01-12,0
2020-01-19,43
2020-01-26,39
2020-02-02,80
2020-02-09,69
2020-02-16,73
2020-02-23,53
2020-03-01,60
2020-03-08,62
2020-03-15,39
2020-03-22,0
2020-03-29,52
2020-04-05,0
2020-04-12,35
2020-04-19,54
2020-04-26,29
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,39
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,45
2020-08-09,43
2020-08-16,51
2020-08-23,38
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,47
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,59
2021-01-17,0
2021-01-24,0
2021-01-31,38
2021-02-07,36
2021-02-14,0
2021-02-21,37
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,38
2021-04-04,0
2021-04-11,49
2021-04-18,48
2021-04-25,0
2021-05-02,42
2021-05-09,42
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,40
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,38
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,61
2021-10-31,0
2021-11-07,39
2021-11-14,42
2021-11-21,64
2021-11-28,46
2021-12-05,45
2021-12-12,56
2021-12-19,0
2021-12-26,44
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,48
2022-01-30,0
2022-02-06,0
2022-02-13,36
2022-02-20,42
2022-02-27,46
2022-03-06,40
2022-03-13,37
2022-03-20,52
2022-03-27,47
2022-04-03,32
2022-04-10,48
2022-04-17,51
2022-04-24,33
2022-05-01,74
2022-05-08,100
2022-05-15,63
2022-05-22,95
2022-05-29,56
2022-06-05,61
2022-06-12,66
2022-06-19,57
2022-06-26,0
2022-07-03,42
2022-07-10,37
2022-07-17,48
2022-07-24,35
2022-07-31,46
2022-08-07,0
2022-08-14,38
2022-08-21,0
2022-08-28,0
2022-09-04,55
2022-09-11,47
2022-09-18,56
2022-09-25,32
2022-10-02,42
2022-10-09,64
2022-10-16,34
2022-10-23,39
2022-10-30,52
2022-11-06,77
2022-11-13,45
2022-11-20,0
2022-11-27,55
2022-12-04,77
2022-12-11,60
2022-12-18,0
2022-12-25,0
2023-01-01,35
2023-01-08,42
2023-01-15,56
2023-01-22,48
2023-01-29,49
2023-02-05,55
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,48
2023-03-12,34
2023-03-19,53
2023-03-26,62
2023-04-02,38
2023-04-09,39
2023-04-16,0
2023-04-23,0
2023-04-30,52
2023-05-07,51
2023-05-14,35
2023-05-21,0
2023-05-28,46
2023-06-04,37
2023-06-11,0
2023-06-18,0
2023-06-25,48
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,35
2023-08-27,36
2023-09-03,36
2023-09-10,49
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,40
2023-10-15,46
2023-10-22,46
2023-10-29,42
2023-11-05,67
2023-11-12,0
2023-11-19,0
2023-11-26,39
2023-12-03,48
2023-12-10,50
2023-12-17,49
2023-12-24,0
2023-12-31,51
2024-01-07,47
2024-01-14,36
2024-01-21,44
2024-01-28,48
2024-02-04,57
2024-02-11,0
2024-02-18,41
2024-02-25,36
2024-03-03,0
2024-03-10,39
2024-03-17,0
2024-03-24,43
2024-03-31,13
2024-04-07,24
2024-04-14,26
