类别：所有类别

区域,Squishmallows: (2019/4/18 - 2024/4/18)
Indiana,100
Wisconsin,96
Ohio,94
Minnesota,93
Pennsylvania,92
Kentucky,91
Iowa,88
Nebraska,88
Michigan,88
West Virginia,88
Illinois,86
Utah,81
Arizona,81
Massachusetts,79
Kansas,77
Oregon,77
Vermont,75
Tennessee,74
Connecticut,73
North Dakota,73
Washington,73
Maryland,73
New Hampshire,73
California,72
Missouri,72
New Jersey,72
Delaware,72
Colorado,71
Texas,71
Virginia,71
South Carolina,69
Rhode Island,69
North Carolina,68
Maine,68
South Dakota,66
Nevada,66
Hawaii,65
Idaho,65
Oklahoma,64
Arkansas,60
Florida,59
Montana,58
Wyoming,58
Alabama,58
Georgia,58
Alaska,57
New Mexico,56
New York,55
Louisiana,53
Mississippi,43
District of Columbia,30
