类别：所有类别

周,Squishmallows: (美国)
2019-04-14,4
2019-04-21,4
2019-04-28,3
2019-05-05,3
2019-05-12,3
2019-05-19,2
2019-05-26,3
2019-06-02,3
2019-06-09,4
2019-06-16,4
2019-06-23,3
2019-06-30,4
2019-07-07,4
2019-07-14,4
2019-07-21,4
2019-07-28,4
2019-08-04,4
2019-08-11,4
2019-08-18,3
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,4
2019-09-22,4
2019-09-29,4
2019-10-06,4
2019-10-13,5
2019-10-20,5
2019-10-27,5
2019-11-03,6
2019-11-10,7
2019-11-17,9
2019-11-24,13
2019-12-01,11
2019-12-08,12
2019-12-15,15
2019-12-22,13
2019-12-29,7
2020-01-05,5
2020-01-12,6
2020-01-19,6
2020-01-26,5
2020-02-02,6
2020-02-09,9
2020-02-16,9
2020-02-23,7
2020-03-01,7
2020-03-08,5
2020-03-15,6
2020-03-22,5
2020-03-29,6
2020-04-05,7
2020-04-12,9
2020-04-19,5
2020-04-26,6
2020-05-03,6
2020-05-10,6
2020-05-17,5
2020-05-24,6
2020-05-31,5
2020-06-07,6
2020-06-14,6
2020-06-21,4
2020-06-28,6
2020-07-05,5
2020-07-12,6
2020-07-19,5
2020-07-26,6
2020-08-02,6
2020-08-09,5
2020-08-16,6
2020-08-23,7
2020-08-30,9
2020-09-06,13
2020-09-13,26
2020-09-20,23
2020-09-27,23
2020-10-04,21
2020-10-11,26
2020-10-18,29
2020-10-25,21
2020-11-01,19
2020-11-08,27
2020-11-15,36
2020-11-22,47
2020-11-29,37
2020-12-06,35
2020-12-13,33
2020-12-20,33
2020-12-27,27
2021-01-03,29
2021-01-10,35
2021-01-17,47
2021-01-24,54
2021-01-31,67
2021-02-07,64
2021-02-14,73
2021-02-21,77
2021-02-28,71
2021-03-07,55
2021-03-14,53
2021-03-21,51
2021-03-28,61
2021-04-04,47
2021-04-11,44
2021-04-18,39
2021-04-25,35
2021-05-02,34
2021-05-09,32
2021-05-16,31
2021-05-23,33
2021-05-30,31
2021-06-06,30
2021-06-13,28
2021-06-20,31
2021-06-27,32
2021-07-04,31
2021-07-11,32
2021-07-18,29
2021-07-25,32
2021-08-01,45
2021-08-08,43
2021-08-15,43
2021-08-22,42
2021-08-29,39
2021-09-05,44
2021-09-12,40
2021-09-19,36
2021-09-26,33
2021-10-03,34
2021-10-10,38
2021-10-17,35
2021-10-24,29
2021-10-31,32
2021-11-07,39
2021-11-14,43
2021-11-21,55
2021-11-28,48
2021-12-05,48
2021-12-12,54
2021-12-19,57
2021-12-26,40
2022-01-02,36
2022-01-09,38
2022-01-16,39
2022-01-23,38
2022-01-30,48
2022-02-06,53
2022-02-13,51
2022-02-20,44
2022-02-27,42
2022-03-06,43
2022-03-13,42
2022-03-20,44
2022-03-27,41
2022-04-03,42
2022-04-10,51
2022-04-17,48
2022-04-24,43
2022-05-01,39
2022-05-08,36
2022-05-15,39
2022-05-22,38
2022-05-29,37
2022-06-05,41
2022-06-12,35
2022-06-19,36
2022-06-26,41
2022-07-03,38
2022-07-10,37
2022-07-17,40
2022-07-24,36
2022-07-31,39
2022-08-07,39
2022-08-14,38
2022-08-21,46
2022-08-28,38
2022-09-04,47
2022-09-11,37
2022-09-18,41
2022-09-25,42
2022-10-02,41
2022-10-09,47
2022-10-16,41
2022-10-23,41
2022-10-30,44
2022-11-06,54
2022-11-13,66
2022-11-20,92
2022-11-27,81
2022-12-04,91
2022-12-11,100
2022-12-18,100
2022-12-25,64
2023-01-01,50
2023-01-08,44
2023-01-15,46
2023-01-22,42
2023-01-29,46
2023-02-05,46
2023-02-12,48
2023-02-19,44
2023-02-26,39
2023-03-05,42
2023-03-12,39
2023-03-19,40
2023-03-26,39
2023-04-02,40
2023-04-09,35
2023-04-16,33
2023-04-23,30
2023-04-30,28
2023-05-07,28
2023-05-14,29
2023-05-21,28
2023-05-28,28
2023-06-04,32
2023-06-11,36
2023-06-18,30
2023-06-25,31
2023-07-02,31
2023-07-09,28
2023-07-16,26
2023-07-23,26
2023-07-30,30
2023-08-06,29
2023-08-13,26
2023-08-20,26
2023-08-27,28
2023-09-03,32
2023-09-10,28
2023-09-17,29
2023-09-24,31
2023-10-01,31
2023-10-08,51
2023-10-15,40
2023-10-22,31
2023-10-29,35
2023-11-05,41
2023-11-12,46
2023-11-19,78
2023-11-26,56
2023-12-03,58
2023-12-10,64
2023-12-17,69
2023-12-24,65
2023-12-31,42
2024-01-07,38
2024-01-14,36
2024-01-21,32
2024-01-28,27
2024-02-04,28
2024-02-11,33
2024-02-18,26
2024-02-25,23
2024-03-03,23
2024-03-10,23
2024-03-17,22
2024-03-24,23
2024-03-31,21
2024-04-07,19
2024-04-14,16
