Category: All categories

Region,Bird Buddy Smart Bird Feeder: (4/16/23 - 4/16/24)
Michigan,100
Maryland,66
Minnesota,66
Massachusetts,66
Pennsylvania,66
New Jersey,66
Georgia,33
Ohio,33
Virginia,33
Illinois,33
New York,33
Florida,33
Texas,<1
Alaska,
Wyoming,
Indiana,
Kansas,
Kentucky,
Louisiana,
Iowa,
Hawaii,
Maine,
Delaware,
District of Columbia,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
Connecticut,
New Mexico,
Nevada,
Colorado,
California,
Oklahoma,
Oregon,
Arizona,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arkansas,
Utah,
Alabama,
Vermont,
Washington,
Wisconsin,
West Virginia,
Idaho,
