Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
birkenstock arizona sandals,"Navigational, Transactional",5400,"0.44,0.67,1.00,0.36,0.44,0.28,0.36,0.28,0.19,0.28,0.19,0.14",53,1.80,1.00,"Reviews, Image, Video, Related searches, Popular products",15500000
shop birkenstock arizona sandal,Transactional,2900,"1.00,0.54,0.81,0.54,0.00,0.00,0.66,0.36,0.00,0.54,0.81,0.00",63,0.00,0.00,"Reviews, Image, Image pack, Related searches, Popular products, Shopping ads",8330000
arizona birkenstock sandals,Transactional,2400,"0.13,0.15,0.54,1.00,0.24,0.24,0.54,0.35,0.28,0.43,0.43,0.24",52,1.80,1.00,"Reviews, Image, Video, Related searches, Popular products",19300000
arizona chunky birkenstock sandals,"Informational, Transactional",880,"0.03,0.55,0.55,0.65,1.00,0.44,0.20,0.05,0.03,0.03,0.03,0.07",20,1.48,1.00,"Reviews, Image, Related searches, Related products, Shopping ads",3580000
birkenstock arizona eva sandals,"Navigational, Transactional",880,"0.36,0.61,0.82,1.00,1.00,0.82,0.36,0.45,0.11,0.23,0.23,0.11",53,0.00,0.00,"Site links, Reviews, Image, Related searches, Related products",5130000
birkenstocks arizona sandals,"Informational, Transactional",880,"0.00,0.01,0.01,0.00,0.02,1.00,0.01,0.00,0.00,0.00,0.00,0.01",55,1.80,1.00,"Site links, Reviews, Image, Image pack, Video carousel, Related searches, Popular products",4930000
birkenstock sandals arizona,"Navigational, Transactional",720,"0.19,0.44,1.00,0.81,0.61,0.61,0.36,0.28,0.22,0.28,0.28,0.14",50,1.80,1.00,"Reviews, Image, Related searches, Popular products",13700000
birkenstock arizona sandals for women,Transactional,480,"0.15,0.44,0.81,0.81,0.67,1.00,0.67,0.36,0.29,0.67,0.67,0.10",55,2.26,1.00,"Site links, Reviews, Image, Image pack, Video carousel, People also ask, Popular products",16900000
birkenstock women's arizona essentials eva sandals,Transactional,480,"0.43,0.67,1.00,1.00,1.00,1.00,0.53,0.33,0.17,0.53,0.80,0.17",21,1.89,1.00,"Reviews, Image, Video, Related searches, Popular products",1040000
birkenstock women's sandals arizona,Transactional,480,"0.01,0.02,1.00,0.48,0.48,0.88,0.59,0.17",48,2.26,1.00,"Reviews, Image, Image pack, Video carousel, Related searches, Popular products",14900000
