Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
bocce ball set,Transactional,4400,"0.29,0.44,0.55,0.82,1.00,0.82,0.55,0.55,0.35,0.44,0.55,0.29",46,0.46,1.00,"Reviews, Image, People also ask, Related searches, Popular products",3680000
bocce ball sets,"Informational, Transactional",1000,"0.16,0.30,0.51,0.67,1.00,1.00,0.51,0.47,0.30,0.47,0.51,0.23",37,0.44,0.95,"Reviews, Image, People also ask, Related searches, Popular products",5780000
bocce balls set,"Informational, Transactional",1000,"0.15,0.24,0.55,0.55,1.00,0.79,0.67,0.41,0.12,0.24,0.30,0.06",31,0.44,0.95,"Site links, Reviews, Image, People also ask, Related searches, Popular products",1210000
shop bocce ball sets,Commercial,720,"0.16,0.55,0.30,0.00,0.00,0.00,0.44,0.00,1.00,0.16,0.08,0.00",33,0.00,1.00,"Reviews, Image, Image pack, Related searches, Popular products, Shopping ads",2170000
best bocce ball set,Commercial,320,"0.19,0.24,0.44,1.00,1.00,0.66,0.54,0.36,0.29,0.66,0.66,0.29",14,0.57,1.00,"Reviews, Image, Video, Related searches, Popular products",2320000
sportcraft bocce ball set,Commercial,260,"0.42,0.53,0.67,0.82,1.00,1.00,0.82,0.82,0.53,0.53,0.53,0.42",24,0.08,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",43
professional bocce ball set,Commercial,210,"0.34,0.34,0.52,0.80,0.80,1.00,0.80,0.52,0.52,0.52,0.80,0.43",23,0.54,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",2270000
beach bocce ball set,"Informational, Transactional",170,"0.20,0.33,0.33,0.81,0.81,1.00,0.81,0.33,0.15,0.33,0.43,0.15",9,0.47,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",1450000
bocce ball set near me,Transactional,170,"0.17,0.22,0.43,0.67,0.81,1.00,0.67,0.36,0.17,0.17,0.36,0.12",55,0.00,1.00,"Reviews, Image, Image pack, Video, Local pack, Related searches, Popular products",4260000
bocce ball set professional,Commercial,170,"0.00,0.33,0.52,1.00,1.00,0.65,0.81,0.52,0.52,0.52,0.28,0.33",21,0.54,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",1500000
vintage bocce ball set,Commercial,170,"0.53,0.53,0.66,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.53",23,0.08,1.00,"Reviews, Image, Image pack, Video, People also ask, Popular products",86
custom bocce ball set,Commercial,140,"0.26,0.34,0.42,0.65,0.53,0.53,0.53,0.42,0.34,0.80,1.00,0.34",7,0.78,1.00,"Reviews, Image, Video, Related searches, Popular products",770000
eddie bauer bocce ball set,Commercial,140,"0.42,0.42,0.42,0.65,1.00,0.80,0.80,0.65,0.42,0.34,0.42,0.19",20,0.00,1.00,"Reviews, Image, Related searches, Popular products",43
107mm bocce ball set,Commercial,110,"0.32,0.23,0.32,0.81,1.00,0.81,0.66,0.43,0.23,0.32,0.53,0.23",1,0.52,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",72
bocce ball sets near me,Transactional,110,"0.17,0.12,0.43,0.28,0.82,1.00,0.05,0.05,0.05,0.05,0.05,0.05",54,0.00,1.00,"Reviews, Image, Image pack, Local pack, Related searches, Popular products",4080000
franklin bocce ball set,Commercial,110,"0.32,0.43,0.52,0.82,0.66,0.66,1.00,0.52,0.43,0.43,0.52,0.23",18,0.18,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",696000
regulation bocce ball set,Commercial,110,"0.31,0.43,0.51,0.51,1.00,0.80,0.66,0.51,0.43,0.43,0.66,0.17",13,0.36,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",95
antique bocce ball set,Transactional,90,"0.09,0.09,0.09,0.09,0.09,0.09,1.00,0.81,0.81,0.66,0.66,0.53",13,0.08,1.00,"Reviews, Image, Image pack, People also ask, Related searches, Popular products",39
bocce ball set made in italy,"Informational, Transactional",90,"0.41,0.53,0.65,0.83,1.00,0.53,0.41,0.24,0.29,0.41,0.41,0.29",6,0.30,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",70
bocce ball set wood,Commercial,90,"0.21,0.78,0.63,1.00,1.00,0.78,0.63,0.50,0.35,0.50,0.50,0.35",8,0.21,1.00,"Reviews, Image, Image pack, Video, People also ask, Popular products",1130000
