Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
original bogg bag,"Informational, Transactional",1000,"0.31,0.25,0.52,1.00,1.00,1.00,0.46,0.20,0.12,0.46,0.46,0.25",37,0.20,1.00,"Site links, Reviews, Image, People also ask, Related searches, Popular products, Shopping ads",903000
bogg bag original,"Informational, Transactional",720,"0.30,0.36,0.55,1.00,1.00,0.81,0.30,0.13,0.16,0.30,0.45,0.24",38,0.20,1.00,"Site links, Reviews, Image, People also ask, Related searches, Popular products, Shopping ads",1050000
shop bogg bags original bag,"Informational, Transactional",720,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.81,0.01",38,0.32,0.99,"Site links, Reviews, Image, Image pack, People also ask, Related searches, Popular products",542000
bogg bag original stores,"Informational, Transactional",210,"0.36,0.67,0.44,0.67,1.00,0.67,0.03,0.03,0.03,0.03,0.03,0.03",42,0.00,0.43,"Site links, Reviews, Image, Image pack, People also ask, Related searches, Related products",1560000
bogg bag original bogg bag,"Informational, Transactional",140,"0.12,0.06,0.34,0.81,1.00,0.65,0.34,0.15,0.15,0.53,0.53,0.28",31,0.38,1.00,"Site links, Reviews, Image, Related searches, Popular products",879000
bogg bag original accessories,Transactional,110,"0.06,0.34,0.34,0.81,1.00,0.81,0.06,0.06,0.12,0.06,0.06,0.06",24,0.00,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",417000
original bogg bag sale,Transactional,110,"0.06,0.12,0.34,0.65,1.00,0.81,0.28,0.12,0.12,0.21,0.21,0.15",20,0.39,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",637000
original bogg bogg bag size comparison,Commercial,90,"0.00,0.01,0.01,1.00,0.11,0.11,0.11,0.03,0.03,0.03,0.18,0.03",35,0.00,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",56
bogg original bag,"Informational, Transactional",50,"0.18,0.18,1.00,1.00,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18",34,0.30,1.00,"Reviews, Image, Video carousel, Related searches, Popular products",848000
original bogg bag size,Informational,50,"0.63,0.18,0.18,1.00,1.00,1.00,0.36,0.18,0.18,0.18,0.18,0.36",14,0.27,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",611000
the original bogg bag,"Informational, Transactional",50,"0.37,0.44,0.17,1.00,1.00,1.00,0.27,0.17,0.17,0.17,0.17,0.17",36,0.35,1.00,"Site links, Reviews, Image, People also ask, Related searches, Related products",898000
bogg bag original bogg tote,"Informational, Transactional",40,"0.00,0.00,0.00,1.00,0.27,1.00,0.18,0.18,0.18,0.18,1.00,0.18",30,0.28,0.97,"Site links, Reviews, Image, Video, Related searches, Related products",514000
bogg bag original near me,Transactional,40,"0.00,0.00,0.00,1.00,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18",32,0.00,0.85,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",569000
bogg bag original vs xl,Informational,40,"0.64,0.18,0.27,1.00,1.00,0.64,0.18,0.18,0.18,0.18,0.18,0.18",32,0.00,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",71
bogg bag original x large,"Informational, Transactional",40,"0.00,0.11,0.17,0.29,0.64,1.00,0.17,0.11,0.11,0.11,0.11,0.11",32,0.36,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Related products",90
original bogg bag vs xl,Informational,40,"0.18,0.18,0.18,0.45,1.00,1.00,0.27,0.18,0.18,0.18,0.18,0.18",31,0.00,0.90,"Reviews, Image, Image pack, Video, People also ask, Related searches",59
bogg bag original bogg bag tote,"Informational, Transactional",30,"0.18,0.18,0.18,0.18,0.81,1.00,0.18,0.18,0.18,0.18,0.18,0.18",34,0.00,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",700000
bogg bag xl vs original,Commercial,30,"0.79,0.38,0.59,1.00,1.00,0.59,0.38,0.38,0.38,0.38,0.38,0.38",32,0.00,0.62,"Site links, Reviews, Image, Image pack, Video, People also ask",79
is the original bogg bag the largest size,Informational,30,"0.14,1.00,0.57,0.28,0.28,0.28,0.28,0.28,0.28",24,0.00,1.00,"Featured snippet, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",72
original bogg bag dimensions,"Informational, Transactional",30,"1.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",17,0.29,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",79400
original bogg bag tote,"Informational, Transactional",30,"0.18,0.18,0.18,1.00,0.36,0.18,0.18,0.18,0.18,0.18,0.18,0.18",37,0.00,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",798000
baby bogg bag original,,20,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.14,0.00,0.14,0.00,0.00",,0.00,0.00,,
baby bogg bag original stores,,20,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
bogg bag original large,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
bogg bag original large tote,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
bogg bag original large tote coral stores,,20,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
bogg bag original size,,20,"0.66,0.66,1.00,1.00,1.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0.27,1.00,,
bogg bag original tote,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
bogg bag original x large waterproof,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
how big is the original bogg bag,,20,"0.50,0.50,0.50,0.75,1.00,0.75,0.50,0.50,0.50,0.50,0.50,0.50",,0.36,1.00,,
original bogg bag blush,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
original bogg bag carolina blue,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
original bogg bag green with envy,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
original bogg bag large,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
original bogg bag navy,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",,0.00,0.00,,
original bogg bag turquoise,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",,0.00,0.00,,
original bogg bag website,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.97,,
original bogg bag white,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
original large bogg bag,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
original.bogg bag,,20,"0.00,0.00,0.14,0.71,1.00,1.00,0.14,0.00,0.00,0.00,0.00,0.00",,0.20,1.00,,
size of original bogg bag,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
what size is the original bogg bag,,20,"0.33,0.33,0.67,0.67,1.00,1.00,0.67,0.67,0.67,0.67,0.67,0.67",,0.40,1.00,,
baby bogg bag original reviews,,10,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
bogg bag original large tote coral accessories,,10,"0.00,0.00,0.00,0.00,1.00,0.18,0.18,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
bogg bag original reviews,,10,"0.17,0.17,0.00,0.17,1.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00",,0.50,1.00,,
