Category: All categories

Week,Cadence Capsules: (United States)
2023-04-16,0
2023-04-23,0
2023-04-30,34
2023-05-07,31
2023-05-14,0
2023-05-21,0
2023-05-28,42
2023-06-04,37
2023-06-11,42
2023-06-18,38
2023-06-25,51
2023-07-02,31
2023-07-09,34
2023-07-16,35
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,32
2023-08-20,0
2023-08-27,0
2023-09-03,31
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,42
2023-10-15,34
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,49
2023-11-19,86
2023-11-26,87
2023-12-03,100
2023-12-10,51
2023-12-17,76
2023-12-24,64
2023-12-31,0
2024-01-07,0
2024-01-14,39
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,34
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,32
2024-03-17,35
2024-03-24,0
2024-03-31,34
2024-04-07,32
2024-04-14,29
