Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
shop carhartt knit cuffed beanie,"Informational, Transactional",3600,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,1.00,0.00",27,0.00,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",2740000
carhartt knit cuffed beanie,"Informational, Transactional",390,"0.23,0.09,0.05,0.00,0.02,0.02,0.05,0.09,0.23,1.00,1.00,0.36",25,0.43,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",4010000
carhartt mens knit cuffed beanie,"Informational, Transactional",390,"0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.62,1.00,1.00",16,0.64,1.00,"Site links, Reviews, Image, Video, Related searches, Popular products",960000
carhartt men's knit cuffed beanie,Transactional,320,"0.15,0.05,0.02,0.04,0.02,0.02,0.02,0.07,0.15,0.62,1.00,0.36",25,0.64,1.00,"Site links, Reviews, Image, Video, Related searches, Popular products",1220000
carhartt - men's knit cuffed beanie,"Informational, Transactional",170,"0.12,0.07,0.02,0.02,0.02,0.02,0.03,0.07,0.12,0.67,1.00,0.36",21,0.64,1.00,"Site links, Reviews, Image, Video, Related searches, Popular products",1060000
carhartt women's knit pom cuffed beanie,"Informational, Transactional",40,"0.11,0.11,0.11,0.00,0.00,0.11,0.11,0.11,0.11,0.17,1.00,0.64",8,1.66,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",322000
knit cuffed beanie carhartt,"Informational, Transactional",40,"0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1.00,0.78,0.26",20,0.48,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products",2190000
shop carhartt knit cuffed beanie women's,"Informational, Transactional",40,"0.00,1.00,0.00",18,0.00,0.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",1090000
adult carhartt knit cuffed beanie,,20,"1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
carhartt a18 knit cuffed beanie,,20,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,1.00,1.00,0.66",,0.00,1.00,,
carhartt cuffed knit beanie,,20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00",,0.00,1.00,,
carhartt knit cuffed beanie black,,20,"1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
carhartt knit cuffed beanie brown,,20,"1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
carhartt knit cuffed beanie winter white,,20,"0.67,0.67,0.00,0.00,0.67,0.00,0.67,0.67,0.67,1.00,0.67,0.67",,0.00,0.57,,
carhartt knit insulated logo graphic cuffed beanie,,20,"1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
carhartt knit pom-pom cuffed beanie,,20,"0.18,0.18,0.18,0.00,0.18,0.00,0.18,0.18,0.18,0.27,1.00,0.18",,0.46,1.00,,
carhartt men's knit cuffed beanie alabaster heather,,20,"1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
carhartt men's knit cuffed beanie black,,20,"1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
carhartt men's knit cuffed camo beanie,,20,"1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
carhartt men's knit cuffed craftsman patch beanie,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
