Category: All categories

Week,Claw clips: (United States)
2023-04-16,70
2023-04-23,63
2023-04-30,55
2023-05-07,60
2023-05-14,63
2023-05-21,67
2023-05-28,63
2023-06-04,60
2023-06-11,59
2023-06-18,65
2023-06-25,60
2023-07-02,54
2023-07-09,57
2023-07-16,61
2023-07-23,70
2023-07-30,61
2023-08-06,64
2023-08-13,58
2023-08-20,64
2023-08-27,60
2023-09-03,55
2023-09-10,51
2023-09-17,58
2023-09-24,50
2023-10-01,51
2023-10-08,46
2023-10-15,63
2023-10-22,58
2023-10-29,59
2023-11-05,89
2023-11-12,90
2023-11-19,98
2023-11-26,93
2023-12-03,95
2023-12-10,100
2023-12-17,84
2023-12-24,71
2023-12-31,54
2024-01-07,55
2024-01-14,53
2024-01-21,51
2024-01-28,63
2024-02-04,52
2024-02-11,56
2024-02-18,45
2024-02-25,57
2024-03-03,46
2024-03-10,57
2024-03-17,57
2024-03-24,48
2024-03-31,51
2024-04-07,50
2024-04-14,50
