Category: All categories
"Claw clips: (4/16/23 - 4/16/24, United States)"

TOP
Hair,100
Hair clip,47
Claw Clip,18
Claw,17
Hairstyle,15
Claw clip,14
small,9
Flower,9
Hair Pins & Clips,8
Metal,5
scünci,5
Claw,5
Long hair,4
Lips,4
Sock,3
Short hair,3
lululemon,2
Ulta Beauty,2
Skin care,2
T.J. Maxx,2
Stanley,2
T.J. Maxx,2
SEPHORA,2

RISING
Claw clip,Breakout
Summer Fridays,Breakout
Claw clips for thick hair,Breakout
SEPHORA,"+1,300%"
Short hair,+350%
Stanley Cup,+300%
T.J. Maxx,+250%
curly hair,+200%
T.J. Maxx,+150%
Ulta Beauty,+150%
Paper clip,+150%
lululemon,+150%
Stanley,+140%
The Iron Claw,+140%
Sol de Janeiro,+140%
Preppy,+140%
Skin care,+120%
scünci,+80%
Lips,+60%

