Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
shop clinique almost lipstick in black honey,"Informational, Transactional",4400,"0.29,0.36,0.29,0.23,0.29,0.23,0.23,0.36,0.36,0.81,1.00,0.00",51,0.66,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products, Shopping ads",507000
clinique almost lipstick in black honey,"Informational, Transactional",390,"1.00,0.88,0.21,0.24,0.47,0.47,0.09,0.09,0.12,0.24,0.24,0.24",48,0.66,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",1860000
almost lipstick in black honey clinique,,20,"0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,1.00",,0.86,1.00,,
clinique almost lipstick in black honey dupe,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey купить,,10,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18",,0.00,1.00,,
clinique almost lipstick in shade black honey,,10,"1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique's almost lipstick in the shade black honey,,10,"0.50,0.50,0.50,0.00,0.00,0.50,0.50,0.50,1.00,0.50,1.00,0.50",,0.00,0.00,,
12. clinique almost lipstick in black honey,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
almost lipstick in black honey by clinique,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
almost lipstick mini in black honey clinique,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick clinique almost lipstick in black honey,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey deluxe mini,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey ds new 3,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey on olive skin,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey or pink honey,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey pantip,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey review,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.85,0.92,,
clinique almost lipstick in black honey sample,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey swatch,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique almost lipstick in black honey รวว,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clinique's almost lipstick in black honey,,0,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",,0.66,1.00,,
cruelty free dupe of clinique almost lipstick in black honey,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
