Category: All categories

Region,Compression packing cubes: (4/16/23 - 4/16/24)
Hawaii,100
District of Columbia,95
Minnesota,65
Oregon,65
Massachusetts,55
California,55
Utah,55
Maryland,55
Connecticut,55
Virginia,50
Illinois,45
Florida,45
Arizona,45
Pennsylvania,45
Washington,45
New York,45
New Mexico,45
New Jersey,45
Colorado,45
Kansas,45
Iowa,40
Nevada,40
Tennessee,40
Louisiana,35
South Carolina,35
Kentucky,35
Georgia,35
North Carolina,35
Wisconsin,35
Ohio,30
Indiana,30
Missouri,30
Michigan,30
Alabama,25
Texas,25
Oklahoma,20
Arkansas,<1
Alaska,
New Hampshire,
Rhode Island,
Nebraska,
South Dakota,
North Dakota,
Montana,
Mississippi,
Maine,
Vermont,
Idaho,
Delaware,
West Virginia,
Wyoming,
