Category: All categories

Region,Compression socks: (4/17/23 - 4/17/24)
Maine,100
Montana,94
West Virginia,93
South Dakota,90
Delaware,90
Ohio,89
Alaska,89
Vermont,88
Wisconsin,87
Minnesota,86
North Dakota,86
Nebraska,86
Oregon,85
New Hampshire,84
Idaho,84
New Mexico,83
Hawaii,83
Kansas,83
Wyoming,82
Pennsylvania,81
Iowa,81
Washington,80
Illinois,80
Michigan,79
Missouri,78
Utah,78
Kentucky,78
Arkansas,77
Georgia,76
South Carolina,75
North Carolina,73
Oklahoma,73
Colorado,72
Tennessee,72
Alabama,72
District of Columbia,72
Louisiana,71
Maryland,71
Arizona,71
California,71
Nevada,69
Virginia,69
Massachusetts,69
Connecticut,69
Rhode Island,69
Indiana,67
New York,66
Mississippi,66
New Jersey,65
Florida,64
Texas,62
