Category: All categories

Week,Compression socks: (United States)
2023-04-16,90
2023-04-23,93
2023-04-30,85
2023-05-07,92
2023-05-14,93
2023-05-21,90
2023-05-28,96
2023-06-04,93
2023-06-11,95
2023-06-18,97
2023-06-25,100
2023-07-02,99
2023-07-09,95
2023-07-16,88
2023-07-23,86
2023-07-30,88
2023-08-06,86
2023-08-13,85
2023-08-20,84
2023-08-27,82
2023-09-03,83
2023-09-10,88
2023-09-17,87
2023-09-24,86
2023-10-01,82
2023-10-08,89
2023-10-15,85
2023-10-22,78
2023-10-29,79
2023-11-05,82
2023-11-12,82
2023-11-19,93
2023-11-26,94
2023-12-03,88
2023-12-10,90
2023-12-17,85
2023-12-24,84
2023-12-31,83
2024-01-07,76
2024-01-14,71
2024-01-21,75
2024-01-28,74
2024-02-04,77
2024-02-11,73
2024-02-18,77
2024-02-25,83
2024-03-03,83
2024-03-10,79
2024-03-17,76
2024-03-24,76
2024-03-31,77
2024-04-07,82
2024-04-14,80
