Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
dewalt cordless drill,"Informational, Transactional",4400,"0.54,0.67,0.67,0.54,0.67,0.67,0.54,0.43,0.67,1.00,0.81,0.54",46,0.39,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",14900000
shop dewalt cordless drills,Transactional,2400,"0.43,0.43,0.20,0.43,0.65,0.81,0.43,0.43,1.00,0.65,1.00,0.00",57,0.00,0.99,"Reviews, Image, Image pack, Video carousel, Related searches, Popular products, Shopping ads",8820000
dewalt cordless drills,Commercial,1300,"0.66,0.23,0.55,0.80,0.41,0.16,0.80,0.36,0.41,1.00,1.00,0.80",37,0.39,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",31900000
dewalt cordless hammer drill,Transactional,1300,"0.81,1.00,0.81,0.81,1.00,0.81,0.81,0.62,0.81,1.00,1.00,0.81",46,0.31,1.00,"Reviews, Image, Video, Related searches, Popular products",12500000
cordless drill dewalt,"Informational, Transactional",880,"0.55,0.62,0.62,0.82,0.82,1.00,0.20,0.15,0.24,0.30,0.82,0.06",46,0.35,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",20100000
dewalt cordless drill 20v,Transactional,880,"0.46,0.76,0.68,0.68,0.76,1.00,0.54,0.54,0.76,1.00,0.76,0.37",52,0.40,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",8580000
dewalt drills cordless,"Informational, Transactional",720,"0.62,1.00,0.82,1.00,0.82,1.00,0.02,0.00,0.02,0.05,0.03,0.02",38,0.46,1.00,"Reviews, Image, Image pack, Video, People also ask, Popular products",18500000
dewalt cordless drill batteries 14.4 v,Transactional,590,"0.01,0.00,0.00,0.00,0.00,0.00,0.76,0.76,1.00,1.00,1.00,0.67",27,0.49,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",1160000
dewalt cordless drill hammer,Commercial,590,"0.10,0.07,0.16,0.10,0.12,0.10,0.77,0.77,0.77,1.00,0.68,0.56",39,0.31,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",12700000
dewalt 20v cordless drill,Transactional,480,"1.00,0.28,0.43,0.35,0.54,0.35,0.54,0.67,0.43,0.67,0.80,0.67",56,0.40,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",8440000
cordless dewalt drills,"Informational, Transactional",390,"0.30,0.30,0.44,1.00,0.36,0.82,0.30,0.44,0.44,0.55,0.55,0.44",35,0.37,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products",10600000
dewalt 20 v cordless drill,Transactional,390,"0.44,0.36,0.44,0.66,0.36,0.54,0.66,0.66,0.66,1.00,1.00,0.02",51,0.40,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products, Shopping ads, Ads bottom",14600000
dewalt 20v max cordless drill,Transactional,390,"0.29,0.36,0.44,0.54,0.54,0.81,0.54,0.44,0.66,1.00,0.81,0.66",52,0.36,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",8350000
dewalt cordless drill battery,Transactional,390,"0.05,0.15,0.12,0.15,0.15,0.12,0.67,0.81,1.00,0.81,0.67,1.00",54,0.35,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",14900000
dewalt cordless hammer drills,Transactional,390,"0.67,0.67,0.82,0.82,0.82,1.00,0.01,0.02,0.02,0.03,0.08,0.05",28,0.31,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products",6450000
dewalt hammer drill cordless,"Informational, Transactional",390,"0.65,0.36,0.82,0.82,0.82,1.00,0.02,0.04,0.07,0.18,0.18,0.15",34,0.31,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",14200000
cordless dewalt drill,"Informational, Transactional",320,"0.36,0.56,0.67,0.83,0.56,1.00,0.44,0.44,0.22,0.56,0.56,0.44",38,0.37,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",23400000
dewalt 20 volt cordless drill,"Informational, Transactional",260,"0.43,0.67,0.53,0.53,0.67,0.67,0.67,0.67,0.80,1.00,1.00,0.53",41,0.40,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",14900000
dewalt cordless drill set,Transactional,260,"0.35,0.43,0.54,0.54,0.54,0.43,0.54,0.43,0.54,0.81,1.00,0.43",44,0.35,1.00,"Reviews, Image, Image pack, Video, Video carousel, Related searches, Popular products",21100000
dewalt cordless 20v drill,"Informational, Transactional",210,"0.54,0.80,0.80,0.65,0.54,0.65,0.80,0.65,0.80,1.00,1.00,0.54",50,0.40,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",8530000
dewalt cordless drills 20v,Transactional,210,"0.34,0.66,0.52,0.66,0.82,0.82,0.66,0.66,1.00,1.00,0.82,0.43",42,0.40,1.00,"Reviews, Image, Image pack, Video, People also ask, Popular products, Shopping ads",10900000
best dewalt cordless drill,Commercial,170,"0.66,0.66,0.66,0.81,1.00,0.81,0.53,0.53,0.66,1.00,0.81,0.66",44,0.45,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",11200000
cordless dewalt hammer drill,Transactional,170,"1.00,1.00,1.00,0.81,0.81,0.67,1.00,0.81,0.81,1.00,1.00,0.67",40,0.31,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",14600000
dewalt cordless 20 volt drill,Transactional,170,"0.33,0.54,0.41,0.80,0.54,0.54,0.65,0.65,0.65,0.80,1.00,0.41",42,0.40,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products, Shopping ads",10600000
dewalt cordless drills at home depot,"Navigational, Transactional",170,"0.09,0.12,0.34,0.43,0.43,0.53,0.43,0.43,0.53,1.00,1.00,0.53",43,0.47,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",0
dewalt drill cordless,Transactional,170,"0.50,0.65,1.00,0.80,0.50,0.80,0.30,0.20,0.30,0.50,0.50,0.30",39,0.46,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",20600000
home depot dewalt cordless drill,"Navigational, Transactional",170,"0.34,0.34,0.34,0.43,0.43,0.52,0.43,0.43,0.52,1.00,1.00,0.52",46,0.47,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",4380000
dewalt 18 volt cordless drill,Transactional,140,"0.19,1.00,0.81,1.00,1.00,1.00,0.42,0.42,0.42,0.33,0.42,0.23",30,0.20,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",13900000
