Category: All categories

Region,Dr. Martens boots: (4/16/23 - 4/16/24)
New Mexico,100
California,87
Massachusetts,75
Nevada,75
Maryland,75
Arizona,75
New Jersey,75
New York,75
Illinois,75
Indiana,75
Utah,75
Pennsylvania,62
Michigan,62
Louisiana,62
Oklahoma,62
Washington,62
Colorado,62
Oregon,62
Texas,62
Tennessee,62
Connecticut,50
Minnesota,50
North Carolina,50
South Carolina,50
Georgia,50
Virginia,50
Wisconsin,37
Missouri,37
Florida,37
Ohio,37
New Hampshire,<1
Alaska,
Nebraska,
North Dakota,
Montana,
Mississippi,
Maine,
Kentucky,
Kansas,
Rhode Island,
Idaho,
South Dakota,
Iowa,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
