Category: All categories

Region,Dr. Scholl's Time Off Sneaker: (4/16/23 - 4/16/24)
Massachusetts,100
California,50
Texas,50
New York,<1
Illinois,<1
Alaska,
Wyoming,
District of Columbia,
Delaware,
Florida,
Georgia,
Hawaii,
Iowa,
Idaho,
Colorado,
Indiana,
Kansas,
Kentucky,
Louisiana,
Arizona,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Arkansas,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Connecticut,
