Category: All categories

Week,Electric bicycles: (United States)
2023-04-16,78
2023-04-23,61
2023-04-30,63
2023-05-07,58
2023-05-14,83
2023-05-21,66
2023-05-28,89
2023-06-04,81
2023-06-11,52
2023-06-18,98
2023-06-25,69
2023-07-02,67
2023-07-09,55
2023-07-16,72
2023-07-23,67
2023-07-30,66
2023-08-06,56
2023-08-13,56
2023-08-20,48
2023-08-27,43
2023-09-03,48
2023-09-10,41
2023-09-17,43
2023-09-24,44
2023-10-01,49
2023-10-08,35
2023-10-15,44
2023-10-22,37
2023-10-29,41
2023-11-05,78
2023-11-12,85
2023-11-19,91
2023-11-26,86
2023-12-03,74
2023-12-10,63
2023-12-17,100
2023-12-24,61
2023-12-31,32
2024-01-07,36
2024-01-14,28
2024-01-21,37
2024-01-28,36
2024-02-04,38
2024-02-11,45
2024-02-18,41
2024-02-25,42
2024-03-03,48
2024-03-10,53
2024-03-17,58
2024-03-24,50
2024-03-31,59
2024-04-07,54
2024-04-14,55
