Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
pandora engraved necklace,"Informational, Transactional",12100,"0.00,0.00,0.02,0.01,0.44,0.81,0.67,0.29,0.29,0.44,1.00,0.54",41,1.53,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",9070000
engraved necklace,Transactional,5400,"0.36,0.28,0.54,0.67,0.28,0.44,0.44,0.36,0.44,0.81,1.00,0.54",42,2.08,1.00,"Reviews, Image, Related searches, Popular products",321000000
pandora engraving necklace,"Informational, Transactional",2900,"0.00,0.00,0.00,0.00,0.16,1.00,0.36,0.19,0.19,0.12,0.36,0.29",37,1.53,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",1690000
engravable necklace,Transactional,2400,"0.15,0.28,0.19,0.19,0.15,0.24,0.28,1.00,0.24,0.54,0.54,0.43",34,2.08,1.00,"Reviews, Image, Related searches, Popular products",109000000
engraved pandora necklace,"Informational, Transactional",2400,"0.00,0.00,0.00,0.00,0.08,0.66,0.29,1.00,0.10,0.13,0.24,0.13",31,1.53,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",2670000
engraved heart necklace,Transactional,1300,"0.41,0.24,0.36,0.36,0.24,0.41,0.41,0.41,0.24,0.79,1.00,0.79",22,2.12,1.00,"Reviews, Image, Image pack, Related searches, Popular products, Shopping ads",14000000
engraved necklaces,Transactional,1300,"0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,1.00,0.19,0.07",39,2.08,1.00,"Reviews, Image, Image pack, Related searches, Popular products",342000000
pandora necklace engraving,Informational,1300,"0.00,0.00,0.00,0.00,0.13,1.00,0.82,0.55,0.55,0.65,0.82,0.82",30,1.79,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",9340000
necklace engraving,Transactional,1000,"0.43,0.02,0.03,0.03,0.03,0.05,0.05,0.04,0.05,0.08,1.00,0.05",47,2.08,1.00,"Reviews, Image, Image pack, Video carousel, Local pack, Related searches, Popular products",36500000
pandora necklace engraved,"Informational, Transactional",1000,"0.00,0.00,0.01,0.00,0.24,0.44,1.00,0.27,0.20,0.36,0.80,0.36",37,1.79,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",2220000
