Category: All categories

Region,Govee Permanent Outdoor Lights: (4/16/23 - 4/16/24)
Nebraska,100
Utah,97
South Dakota,88
North Dakota,71
Idaho,65
Iowa,65
Kansas,60
Indiana,60
Ohio,57
Wisconsin,54
Minnesota,48
Texas,48
Florida,48
New Mexico,45
Louisiana,45
Michigan,42
Oklahoma,42
West Virginia,42
Arkansas,42
Missouri,42
Nevada,40
Arizona,40
Washington,40
Illinois,40
Mississippi,37
Colorado,37
New Jersey,37
California,34
Pennsylvania,34
Kentucky,31
Tennessee,31
North Carolina,31
South Carolina,28
Virginia,25
Oregon,25
Alabama,22
Connecticut,22
Georgia,22
New York,22
Maryland,20
Massachusetts,14
Alaska,
Rhode Island,
New Hampshire,
Montana,
Maine,
Vermont,
Hawaii,
Delaware,
District of Columbia,
Wyoming,
