Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
govee permanent outdoor lights,"Informational, Transactional",22200,"0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.24,1.00,0.24,0.06",50,0.66,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",255000
govee permanent outdoor lights pro,"Informational, Transactional",3600,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,1.00,0.29,0.04",50,0.95,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Related products, Shopping ads",139000
govee outdoor permanent lights,"Informational, Transactional",1900,"0.02,0.01,0.01,0.01,0.02,0.05,0.03,0.08,0.29,1.00,0.36,0.05",44,0.61,1.00,"Site links, Reviews, Image, Video, Related searches, Popular products, Shopping ads",231000
govee permanent outdoor light,"Informational, Transactional",1000,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,1.00,0.29,0.00",48,0.66,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",256000
govee pro permanent outdoor lights,"Informational, Transactional",1000,"0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.08,1.00,0.10,0.01",41,0.79,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",151000
govee rgbic led permanent outdoor lights,Transactional,1000,"0.05,0.02,0.02,0.02,0.02,0.05,0.05,0.07,0.36,1.00,0.23,0.02",41,0.90,1.00,"Site links, Reviews, Image, Video, Related searches, Popular products, Shopping ads",86
govee rgbic 100ft led outdoor permanent string lights,"Informational, Transactional",880,"0.01,1.00,1.00,0.31,0.08",33,1.02,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Related products, Shopping ads",47
govee rgbic permanent outdoor lights,"Informational, Transactional",720,"0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.18,1.00,0.29,0.08",39,0.67,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",171000
govee permanent outdoor lights installation,"Informational, Transactional",590,"0.03,0.00,0.00,0.00,0.04,0.03,0.13,0.07,0.44,1.00,0.27,0.05",28,2.95,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches",344000
govee permanent outdoor lights extension,"Informational, Transactional",480,"0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.05,0.44,1.00,0.55,0.03",37,0.57,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",80
govee permanent outdoor lights power supply,"Informational, Transactional",480,"1.00,1.00,0.48,0.59,0.00,0.88,0.21,0.26,0.17,0.88,0.59,0.09",32,0.47,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom",91000
shop govee permanent outdoor lights,"Informational, Transactional",480,"0.03,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.07,0.52,1.00,0.00",44,0.00,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",98
govee rgbic permanent outdoor lights 1200-in 72-light white dimmable integrated,"Informational, Transactional",320,"0.00,0.23,0.67,0.54,0.00,0.54,0.54,0.00,0.36,1.00,0.19,0.02",41,0.00,0.89,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",20
govee permanent outdoor lights 100ft,"Informational, Transactional",260,"0.01,0.02,0.01,0.01,0.02,0.02,0.00,0.05,0.08,1.00,0.11,0.01",35,0.81,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",75
how to install govee permanent outdoor lights,Informational,260,"0.00,0.01,0.01,0.00,0.01,0.02,0.02,0.05,0.30,1.00,0.36,0.08",32,0.99,0.15,"Site links, Reviews, Video, Related searches",116000
installing govee permanent outdoor lights,Informational,260,"0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.08,0.45,1.00,0.55,0.08",34,3.09,0.72,"Site links, Reviews, Video, People also ask",142000
