Category: All categories

Region,Herman Miller chairs: (4/17/23 - 4/17/24)
Vermont,100
District of Columbia,97
Illinois,65
Washington,65
Massachusetts,63
California,63
Oregon,60
New Hampshire,60
Minnesota,57
Michigan,57
Arizona,57
Utah,55
Colorado,55
Virginia,55
Hawaii,55
Texas,52
Maryland,52
Iowa,52
Wisconsin,50
Kansas,50
Nevada,47
New York,47
North Carolina,47
Missouri,44
Oklahoma,44
New Jersey,44
Georgia,44
Ohio,44
Idaho,42
Florida,39
Nebraska,39
Pennsylvania,39
Connecticut,36
Arkansas,36
Tennessee,36
Indiana,36
Kentucky,34
West Virginia,31
South Carolina,28
Mississippi,26
Alabama,26
Louisiana,23
Rhode Island,<1
New Mexico,<1
Maine,<1
Alaska,
South Dakota,
North Dakota,
Montana,
Delaware,
Wyoming,
