Category: All categories

Region,KitchenAid stand mixers: (4/17/23 - 4/17/24)
Oregon,100
Kentucky,100
New York,60
Michigan,60
North Carolina,60
Ohio,60
Wisconsin,40
Pennsylvania,40
Colorado,40
Washington,40
Massachusetts,40
Virginia,40
Indiana,40
Tennessee,40
Georgia,40
Illinois,40
California,40
New Jersey,40
Florida,20
Texas,20
Minnesota,<1
Missouri,<1
Alaska,
Wyoming,
Maryland,
Mississippi,
Montana,
Louisiana,
North Dakota,
Nebraska,
New Hampshire,
Kansas,
New Mexico,
Nevada,
Idaho,
Iowa,
Oklahoma,
Hawaii,
Delaware,
Rhode Island,
South Carolina,
South Dakota,
District of Columbia,
Connecticut,
Utah,
Arizona,
Vermont,
Arkansas,
Alabama,
West Virginia,
Maine,
