Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
kitchenaid stand mixers,Transactional,3600,"0.17,0.28,0.24,0.24,0.17,0.14,0.17,0.24,0.10,0.66,1.00,0.66",65,0.96,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",6420000
shop kitchenaid stand mixers,Commercial,3600,"0.10,0.10,0.10,0.10,0.10,0.10,0.08,0.10,0.13,0.44,1.00,0.00",70,1.13,1.00,"Site links, Reviews, Image, Image pack, Video carousel, People also ask, Local pack, Related searches, Popular products, Shopping ads",3310000
kitchenaid covers for stand mixers,Transactional,480,"0.00,0.03,0.00,0.00,0.00,0.00,0.11,0.11,0.20,0.34,1.00,0.44",32,0.48,1.00,"Reviews, Image, Image pack, Video, People also ask, Popular products",575000
best deals on kitchenaid stand mixers,Commercial,390,"0.01,0.01,0.01,0.02,0.00,0.01,0.02,0.01,0.16,1.00,0.41,0.24",42,0.99,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",2400000
kitchenaid artisan 5 quart stand mixers,"Informational, Transactional",320,"0.00,0.30,1.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.13,0.07",30,1.41,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",978000
bowls for kitchenaid stand mixers,"Informational, Transactional",260,"0.13,0.10,0.08,0.10,0.13,0.10,0.08,0.06,0.13,0.73,1.00,0.26",25,0.39,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",666000
covers for kitchenaid stand mixers,"Informational, Transactional",260,"0.17,0.17,0.11,0.09,0.07,0.11,0.11,0.11,0.14,0.48,1.00,0.48",31,0.48,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",537000
kitchenaid stand mixers on sale,Transactional,260,"0.11,0.11,0.11,0.11,0.04,0.15,0.11,0.04,0.30,1.00,0.59,0.30",38,1.07,1.00,"Site links, Reviews, Image, Image pack, People also ask, Related searches, Popular products",4100000
kitchenaid stand mixers at walmart,Transactional,210,"0.08,0.28,0.23,0.23,0.15,0.18,0.18,0.15,0.23,1.00,0.81,0.35",29,0.38,1.00,"Reviews, Image, Image pack, Video, People also ask, Popular products",314000
attachments for kitchenaid stand mixers,Transactional,170,"0.11,0.05,0.07,0.05,0.04,0.05,0.11,0.15,0.11,0.55,1.00,0.18",50,0.45,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",1560000
stand mixers kitchenaid,Commercial,170,"0.00,0.08,0.08,0.23,0.08,0.31,0.38,0.31,0.31,0.77,1.00,0.23",59,0.61,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",4340000
deals on kitchenaid stand mixers,Transactional,140,"0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.15,0.66,1.00,0.15",28,1.32,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",5160000
kitchenaid tilt head stand mixers,Transactional,140,"0.00,0.05,0.05,0.08,0.00,0.06,0.15,0.06,0.18,1.00,0.81,0.15",37,0.65,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",1080000
refurbished kitchenaid stand mixers,Transactional,140,"0.25,0.25,0.33,0.33,0.25,0.81,0.42,0.81,0.53,1.00,0.81,0.64",16,1.58,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",386000
colors of kitchenaid stand mixers,Transactional,90,"0.33,0.53,0.27,0.27,0.15,0.27,0.06,0.06,0.06,0.03,1.00,0.44",15,0.91,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",717000
cyber monday deals on kitchenaid stand mixers,Commercial,90,"0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02",44,0.00,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",0
discount kitchenaid stand mixers,Transactional,90,"0.05,0.05,0.05,0.05,0.05,0.05,0.17,0.23,0.28,0.53,1.00,0.43",37,0.68,1.00,"Site links, Reviews, Image, Image pack, Video, Video carousel, People also ask, Popular products",18100000
kitchenaid pasta attachments for stand mixers,"Informational, Transactional",90,"0.00,1.00,0.82,0.64,0.82,0.82,0.39,0.54,0.82,0.21,0.11,0.11",46,0.00,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",5680000
stand mixer cover for kitchenaid mixers,Transactional,90,"0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.02,0.02,0.12,0.12,1.00",28,0.40,0.99,"Reviews, Image, Image pack, Video, People also ask, Popular products",3680000
compare kitchenaid stand mixers chart,Commercial,70,"0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.34,0.43,1.00,1.00,0.12",43,0.38,0.92,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches",13100000
kitchenaid classic stand mixers,Transactional,70,"0.09,0.20,0.14,0.05,0.14,0.14,0.11,0.09,0.20,1.00,0.52,0.00",55,0.48,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",1370000
kitchenaid refurbished stand mixers,Transactional,70,"0.19,0.26,0.15,0.42,0.19,0.26,0.15,0.19,1.00,0.26,0.26,0.07",15,1.31,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",272000
walmart kitchenaid stand mixers,Transactional,70,"0.18,0.18,0.14,0.14,0.07,0.14,0.14,0.07,0.14,1.00,0.64,0.25",26,0.38,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",392000
compare kitchenaid stand mixers,Commercial,50,"1.00,0.21,0.13,0.21,0.13,0.28,0.13,0.13,0.21,0.64,0.79,0.13",35,0.92,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches",4190000
difference in kitchenaid stand mixers,Commercial,50,"0.13,0.13,0.13,0.13,0.13,0.13,0.00,0.50,0.00,0.78,1.00,1.00",41,0.40,0.95,"Site links, Reviews, Image, Video, People also ask, Related searches",4550000
food grinder attachment for kitchenaid stand mixers,"Informational, Transactional",50,"0.22,0.22,0.22,0.22,0.22,0.22,0.77,0.77,1.00,1.00,0.77,1.00",38,0.49,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",763000
