Category: All categories

Region,Marc Jacobs The Tote Bag: (4/16/23 - 4/16/24)
Delaware,100
New Jersey,86
Louisiana,84
Rhode Island,83
Nevada,83
Mississippi,81
Georgia,75
Texas,75
California,72
Arizona,69
Hawaii,69
Connecticut,69
North Carolina,67
Maryland,67
Florida,66
Massachusetts,66
Illinois,64
New York,63
Alabama,63
District of Columbia,61
South Carolina,61
Wyoming,60
Virginia,58
Pennsylvania,56
New Mexico,56
Tennessee,55
Michigan,52
Indiana,49
Ohio,49
Nebraska,47
Missouri,44
Arkansas,44
North Dakota,43
Washington,41
Minnesota,40
Oklahoma,38
Colorado,38
Kentucky,36
Utah,36
Wisconsin,32
Kansas,32
Oregon,29
Iowa,27
West Virginia,26
New Hampshire,24
Idaho,18
South Dakota,
Montana,
Vermont,
Maine,
Alaska,
