Category: All categories

Week,Marc Jacobs The Tote Bag: (United States)
2023-04-16,82
2023-04-23,84
2023-04-30,81
2023-05-07,95
2023-05-14,89
2023-05-21,79
2023-05-28,74
2023-06-04,70
2023-06-11,73
2023-06-18,76
2023-06-25,72
2023-07-02,67
2023-07-09,68
2023-07-16,53
2023-07-23,60
2023-07-30,58
2023-08-06,66
2023-08-13,60
2023-08-20,53
2023-08-27,57
2023-09-03,53
2023-09-10,46
2023-09-17,51
2023-09-24,51
2023-10-01,45
2023-10-08,52
2023-10-15,49
2023-10-22,48
2023-10-29,47
2023-11-05,53
2023-11-12,65
2023-11-19,94
2023-11-26,84
2023-12-03,74
2023-12-10,78
2023-12-17,81
2023-12-24,100
2023-12-31,62
2024-01-07,53
2024-01-14,48
2024-01-21,44
2024-01-28,46
2024-02-04,43
2024-02-11,49
2024-02-18,49
2024-02-25,38
2024-03-03,41
2024-03-10,47
2024-03-17,40
2024-03-24,40
2024-03-31,35
2024-04-07,31
2024-04-14,32
