Category: All categories

Week,Mejuri rings: (United States)
2023-04-16,0
2023-04-23,30
2023-04-30,52
2023-05-07,30
2023-05-14,0
2023-05-21,43
2023-05-28,53
2023-06-04,33
2023-06-11,28
2023-06-18,52
2023-06-25,45
2023-07-02,41
2023-07-09,29
2023-07-16,36
2023-07-23,35
2023-07-30,30
2023-08-06,31
2023-08-13,44
2023-08-20,39
2023-08-27,36
2023-09-03,0
2023-09-10,48
2023-09-17,39
2023-09-24,32
2023-10-01,41
2023-10-08,0
2023-10-15,29
2023-10-22,40
2023-10-29,31
2023-11-05,76
2023-11-12,63
2023-11-19,97
2023-11-26,60
2023-12-03,92
2023-12-10,76
2023-12-17,71
2023-12-24,94
2023-12-31,50
2024-01-07,58
2024-01-14,42
2024-01-21,61
2024-01-28,100
2024-02-04,47
2024-02-11,47
2024-02-18,36
2024-02-25,46
2024-03-03,55
2024-03-10,30
2024-03-17,0
2024-03-24,58
2024-03-31,36
2024-04-07,51
2024-04-14,55
