Category: All categories

Region,Neck fans: (4/16/23 - 4/16/24)
Louisiana,100
Mississippi,75
Georgia,55
Alabama,55
Arkansas,50
Kansas,45
Florida,45
South Carolina,40
Nebraska,40
Iowa,40
Tennessee,40
Missouri,40
Texas,40
Oklahoma,30
North Carolina,30
Washington,30
Indiana,25
Virginia,25
Ohio,25
New Jersey,25
Maryland,25
California,25
Pennsylvania,25
Michigan,25
Wisconsin,20
Illinois,20
Arizona,20
Massachusetts,20
Kentucky,20
New York,20
Connecticut,20
Oregon,15
Minnesota,15
Colorado,15
Utah,<1
Alaska,
Nevada,
New Mexico,
New Hampshire,
Rhode Island,
North Dakota,
South Dakota,
Montana,
Maine,
Idaho,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
