Category: All categories

Region,Ninja Creami Deluxe: (4/16/23 - 4/16/24)
Utah,100
Wyoming,85
South Dakota,79
Nebraska,66
Idaho,62
North Dakota,62
Arizona,60
Michigan,50
Hawaii,47
Delaware,47
Missouri,45
Maine,43
Ohio,43
Montana,43
Louisiana,41
Kansas,41
Minnesota,41
Iowa,41
New Jersey,41
Washington,41
Oklahoma,39
Tennessee,39
Wisconsin,39
New Hampshire,39
Pennsylvania,39
Illinois,39
Kentucky,39
Nevada,39
Oregon,39
West Virginia,39
North Carolina,35
Florida,35
Rhode Island,33
Indiana,33
Maryland,33
Massachusetts,33
Virginia,33
Colorado,33
Georgia,33
Connecticut,33
California,31
Texas,31
District of Columbia,31
Arkansas,29
New York,25
Mississippi,22
Alabama,22
South Carolina,22
Vermont,
New Mexico,
Alaska,
