Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
shop owala freesip water bottle,"Informational, Transactional",320,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.30,0.01",30,0.35,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",572000
owala freesip water bottle,Transactional,210,"0.06,0.11,0.11,0.28,0.11,0.18,0.23,0.18,0.15,0.81,1.00,0.81",31,0.23,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",694000
owala freesip insulated stainless steel water bottle,"Informational, Transactional",170,"0.28,0.28,0.28,0.28,0.35,0.35,0.43,0.53,0.28,0.66,1.00,0.66",35,0.28,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Related products, Shopping ads",463000
owala freesip 24-oz. stainless steel water bottle,"Informational, Transactional",140,"0.15,0.28,0.81,0.28,0.28,0.53,0.03,0.03,0.28,1.00,0.65,0.53",23,0.33,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches",478000
owala freesip stainless steel water bottle,"Informational, Transactional",140,"0.07,0.07,0.42,0.42,0.53,0.65,0.42,0.80,0.15,0.53,1.00,1.00",26,0.29,1.00,"Reviews, Image, Image pack, Video, Related searches",674000
owala freesip 24oz stainless steel water bottle,"Informational, Transactional",110,"0.00,0.05,1.00,0.03,0.05,0.08,0.35,0.18,0.06,0.35,0.18,0.15",30,0.33,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches, Related products",94
owala 24 oz. freesip stainless steel water bottle,"Informational, Transactional",50,"0.00,0.00,0.00,0.18,0.18,0.18,1.00,1.00,0.18,1.00,1.00,0.81",16,0.35,0.99,"Reviews, Image, Image pack, Video, Related searches, Shopping ads",474000
owala freesip 32-oz. stainless steel water bottle,"Informational, Transactional",50,"0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,1.00,1.00,1.00,0.18",20,0.32,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Related products, Shopping ads",490000
owala 32 oz. freesip stainless steel water bottle,"Informational, Transactional",40,"0.00,0.00,0.00,0.18,0.18,0.18,1.00,0.18,0.18,1.00,1.00,0.81",13,0.41,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches",312000
owala 40 oz. freesip stainless steel water bottle,"Informational, Transactional",40,"0.00,0.00,0.00,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.81",16,0.46,0.97,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Related products, Shopping ads",307000
owala freesip 24 oz water bottle,"Informational, Transactional",40,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.52,1.00,0.42",22,0.22,0.96,"Site links, Reviews, Image, Video, Related searches, Related products",622000
owala freesip insulated stainless steel water bottle with straw,"Informational, Transactional",40,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.81",36,0.38,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",360000
owala freesip tritan water bottle,"Informational, Transactional",30,"0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",5,0.00,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Related products, Shopping ads",146000
owala freesip vacuum water bottle,"Informational, Transactional",30,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18",39,0.15,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",438000
24oz owala freesip water bottle,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.24,1.00,,
owala - freesip insulated stainless steel 32 oz. water bottle,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
owala freesip 24-oz. stainless steel water bottle combo pack,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.67,,
owala freesip 32-oz. stainless steel water bottle combo pack,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",,0.00,0.00,,
owala freesip 40 oz water bottle,,20,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,1.00,0.14",,0.91,1.00,,
owala freesip clear water bottle,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
owala freesip insulated water bottle,,20,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.14,0.14,0.14,0.14,0.00",,0.30,1.00,,
owala freesip stainless steel water bottle stores,,20,"1.00,0.27,0.42,0.42,0.12,0.27,0.27,0.12,0.00,0.00,0.00,0.00",,0.81,0.99,,
owala 24 oz. freesip stainless steel water bottle candy store,,0,"0.00,0.00",,0.00,0.00,,
owala 32 oz. freesip stainless steel water bottle candy store,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",,0.00,1.00,,
owala freesip 24oz stainless steel water bottle - sandy shores,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00",,0.00,0.98,,
owala freesip 24oz stainless steel water bottle - smooshed blueberry,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
owala freesip insulated stainless steel water bottle stores,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
owala freesip insulated stainless-steel water bottle,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.28,1.00,,
owala freesip stainless steel water bottle combo pack,,0,"0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
owala freesip stainless steel water bottle reviews,,0,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00",,0.16,1.00,,
owala freesip vacuum water bottle - 24 fl. oz.,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,1.00,,
owala freesip vacuum water bottle - 32 fl. oz.,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00",,0.00,0.97,,
owala freesip vacuum water bottle - 40 fl. oz.,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.48,1.00,,
owala freesip water bottle review,,0,0.00,,0.00,0.00,,
