Category: All categories

Week,Parachute pants: (United States)
2023-04-16,88
2023-04-23,89
2023-04-30,83
2023-05-07,86
2023-05-14,86
2023-05-21,84
2023-05-28,80
2023-06-04,68
2023-06-11,77
2023-06-18,70
2023-06-25,73
2023-07-02,78
2023-07-09,86
2023-07-16,88
2023-07-23,85
2023-07-30,97
2023-08-06,97
2023-08-13,100
2023-08-20,100
2023-08-27,98
2023-09-03,94
2023-09-10,90
2023-09-17,89
2023-09-24,81
2023-10-01,77
2023-10-08,86
2023-10-15,77
2023-10-22,75
2023-10-29,61
2023-11-05,66
2023-11-12,81
2023-11-19,92
2023-11-26,69
2023-12-03,71
2023-12-10,70
2023-12-17,66
2023-12-24,77
2023-12-31,65
2024-01-07,65
2024-01-14,62
2024-01-21,61
2024-01-28,65
2024-02-04,70
2024-02-11,69
2024-02-18,71
2024-02-25,79
2024-03-03,71
2024-03-10,69
2024-03-17,70
2024-03-24,72
2024-03-31,66
2024-04-07,72
2024-04-14,71
