Category: All categories

Region,Pixel Fold: (4/17/23 - 4/17/24)
Washington,100
California,87
Hawaii,87
Alaska,81
Utah,81
New Mexico,80
Colorado,79
North Dakota,78
Nevada,77
Arizona,75
Georgia,75
South Dakota,75
Nebraska,75
Maryland,71
Minnesota,71
Oregon,70
Delaware,68
Illinois,68
Virginia,68
Tennessee,67
New Jersey,67
Massachusetts,67
Oklahoma,66
Michigan,66
Ohio,65
District of Columbia,65
Rhode Island,65
Alabama,64
Indiana,63
Idaho,63
Pennsylvania,63
Missouri,63
Florida,62
Arkansas,62
New York,62
West Virginia,62
Wisconsin,62
North Carolina,61
Kentucky,61
Texas,61
Louisiana,59
Kansas,59
Connecticut,59
New Hampshire,59
South Carolina,58
Montana,58
Maine,56
Iowa,52
Wyoming,47
Mississippi,47
Vermont,37
