Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
plufl human dog bed,Transactional,1900,"0.06,0.05,0.05,0.03,0.05,0.29,0.55,0.29,0.65,1.00,1.00,1.00",64,0.46,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",102000
shop plufl human dog beds,"Informational, Transactional",720,"0.01,0.02,0.05,0.05,0.11,1.00,0.65,0.20,0.11,0.55,0.34,0.00",43,0.71,0.99,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",67500
the plufl human dog bed,"Informational, Transactional",260,"0.02,0.02,0.02,0.02,0.15,1.00,1.00,0.23,0.12,0.66,0.81,0.29",41,0.45,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",110000
plufl human dog bed reviews,Commercial,50,"0.35,0.14,0.14,0.14,0.14,1.00,0.64,0.35,0.35,0.50,0.79,0.14",40,1.15,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",89
shop plufl human dog bed,"Informational, Transactional",50,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.11",45,0.71,0.99,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",54000
plufl human dog bed price,Transactional,40,"1.00,0.34,0.14,0.14,0.14,0.34,0.20,0.14,0.14,0.14,0.14,0.14",43,0.49,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",29600
plufl human dog bed shark tank,"Informational, Transactional",30,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18",38,0.57,0.91,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",95
human sized dog bed plufl,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.67,1.00,,
plufl human dog bed net worth,,20,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,1.00,0.81,0.18",,0.00,0.29,,
plufl human sized dog bed,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.62,1.00,,
human dog bed plufl,,10,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.50,0.50,0.00",,0.60,0.99,,
plufl human dog bed for sale,,10,"1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.89,,
plufl human dog bed stores,,10,"0.00,0.00,0.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
plufl human dog bed uk,,10,"1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00",,0.00,0.00,,
plufl human dog beds,,10,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.46,1.00,,
human size dog bed plufl,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
plufl dog bed for human,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.42,1.00,,
plufl human-sized dog bed,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.62,1.00,,
