Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
puzzle vase,Informational,1600,"0.00,0.00,0.00,0.00,1.00,0.13,0.10,0.01,0.01,0.03,0.10,0.03",13,0.22,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",19700000
shop 3d puzzle vases,Commercial,720,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.53,0.01",11,0.29,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products, Shopping ads",3190000
3d puzzle vase,Commercial,320,"0.02,0.02,0.02,0.02,1.00,0.39,0.26,0.14,0.14,0.32,1.00,0.26",18,0.30,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",7270000
3d vase puzzle,Transactional,170,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.01,0.08,0.01",11,0.30,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",10500000
pintoo puzzle vase,"Informational, Transactional",140,"0.02,0.02,0.02,0.02,1.00,0.29,0.12,0.09,0.06,0.09,0.54,0.23",10,0.14,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",74
vase puzzle,Commercial,110,"0.02,0.00,0.02,0.00,1.00,0.00,0.12,0.00,0.00,0.00,0.19,0.05",11,0.22,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products, Shopping ads, Ads bottom",21700000
puzzle vase 3d,Commercial,90,"0.02,0.02,0.02,0.02,1.00,0.15,0.00,0.00,0.00,0.00,0.06,0.02",17,0.30,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products, Shopping ads",7830000
puzzle vases,"Informational, Transactional",50,"0.11,0.00,0.11,0.00,0.41,0.00,0.11,0.11,0.11,0.64,1.00,0.52",0,0.38,1.00,"Reviews, Image, Image pack, Video carousel, Related searches, Popular products",0
hogwarts legacy vase puzzle,"Informational, Commercial",40,"1.00,0.64,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",18,0.00,0.00,"Reviews, Image pack, Video, People also ask, Related searches",93000
puzzle vase amazon,"Informational, Transactional",40,"0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,0.11",26,0.26,1.00,"Reviews, Image, Video, Related searches, Shopping ads",0
