Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
rare beauty liquid blush,"Informational, Transactional",5400,"0.67,0.82,0.67,0.44,0.44,0.44,0.36,0.36,0.44,0.82,1.00,0.44",39,0.28,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",8850000
shop rare beauty liquid blush,"Informational, Transactional",5400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,1.00,0.00",36,0.00,0.91,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",5420000
rare beauty soft pinch liquid blush,"Informational, Transactional",1000,"0.52,0.69,1.00,0.31,0.31,0.31,0.38,0.25,0.38,1.00,1.00,0.38",35,0.48,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",2240000
rare beauty by selena gomez soft pinch liquid blush,"Informational, Transactional",480,"0.32,0.47,0.47,0.32,0.21,0.39,0.32,0.26,0.32,0.88,1.00,0.32",40,0.53,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",373000
liquid rare beauty blush,"Informational, Transactional",390,"0.88,0.59,0.59,0.59,1.00,0.39,0.32,0.21,0.07,0.11,0.07,0.07",45,0.20,0.84,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",8130000
liquid blush rare beauty,"Informational, Transactional",320,"0.36,0.44,0.36,0.36,0.36,0.44,0.29,0.23,0.29,1.00,0.36,0.36",33,0.31,0.99,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",9880000
rare beauty by selena gomez soft pinch liquid blush happy,"Informational, Transactional",320,"0.02,0.02,0.02,0.02,0.23,0.44,0.67,0.44,0.05,0.44,1.00,1.00",41,1.44,1.00,"Reviews, Image, Video, Related searches, Related products, Shopping ads",0
rare beauty by selena gomez soft pinch liquid blush bliss,"Informational, Transactional",260,"0.00,0.00,0.00,0.00,0.00,1.00,0.08,0.00,0.00,0.07,0.08,0.08",29,0.92,1.00,"Site links, Reviews, Image, Video, Related searches, Related products, Shopping ads",82
rare beauty liquid blush swatches,"Informational, Transactional",260,"0.55,1.00,1.00,0.67,0.55,0.55,0.35,0.35,0.35,0.44,0.44,0.29",40,0.00,0.94,"Reviews, Image, Image pack, Video, People also ask, Related searches",4200000
rare beauty liquid blush dupe,Commercial,210,"1.00,0.82,1.00,0.65,0.53,0.53,0.44,0.33,0.33,0.44,0.53,0.44",31,0.09,1.00,"Reviews, Image, Video, People also ask, Related searches",1230000
