Category: All categories

Region,Seiko watches: (4/16/23 - 4/16/24)
Hawaii,100
District of Columbia,79
California,75
New Jersey,71
Massachusetts,65
Connecticut,63
Washington,61
Rhode Island,59
Florida,59
Virginia,58
Louisiana,58
North Dakota,58
Nevada,58
Vermont,58
New York,58
Illinois,58
New Mexico,58
Colorado,58
Arizona,56
Montana,56
Texas,56
Tennessee,56
North Carolina,56
Pennsylvania,54
Oregon,54
New Hampshire,53
Maryland,52
South Carolina,52
Delaware,52
Utah,52
Michigan,51
Alabama,50
Georgia,50
Kansas,50
Kentucky,48
Missouri,48
Oklahoma,47
Minnesota,45
Ohio,45
Wisconsin,45
Wyoming,45
Idaho,44
Nebraska,44
Alaska,44
Indiana,44
Maine,42
Arkansas,42
Iowa,39
South Dakota,36
Mississippi,35
West Virginia,33
