Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
shark hyperair hair dryer,Transactional,4400,"0.81,0.67,0.67,1.00,0.67,0.81,0.43,0.35,0.43,0.43,0.67,0.35",36,0.67,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",238000
shop shark hyperair hair dryer,Transactional,1900,"0.00,0.00,1.00,0.00,0.55,0.00,0.82,0.42,0.55,0.55,1.00,0.00",34,0.00,0.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products, Shopping ads",187000
shark hyperair hair dryer reviews,Commercial,170,"0.52,0.52,0.52,1.00,0.66,0.66,0.27,0.14,0.27,0.34,0.34,0.14",40,0.67,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",104000
shark hyperair iq hair dryer,Transactional,110,"0.64,0.64,0.82,0.64,0.52,0.82,0.41,0.52,0.41,1.00,1.00,0.52",32,0.83,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",139000
shark hyperair hair dryer costco,Transactional,90,"0.79,0.49,0.64,1.00,0.49,1.00,0.64,0.49,0.36,0.36,0.49,0.36",26,0.87,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",38
shark hyperair hair dryer vs dyson,"Informational, Commercial",90,"0.51,0.51,0.67,1.00,0.67,0.51,0.33,0.19,0.19,0.23,0.42,0.19",35,1.20,0.98,"Site links, Reviews, Image, Video, People also ask, Related searches",44
shark hyper air hair dryer,Transactional,50,"0.50,0.50,0.50,1.00,0.75,0.50,0.00,0.00,0.00,0.25,0.50,0.00",30,0.67,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",88
shark hyper hair dryer,Transactional,50,"0.61,0.61,0.61,1.00,0.43,0.25,0.18,0.25,0.18,0.61,1.00,0.18",31,0.64,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",0
shark hyperair hair blow dryer,Transactional,50,"0.56,0.56,0.76,0.56,0.44,0.56,0.44,0.32,0.32,1.00,0.21,1.00",39,0.69,0.99,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products, Shopping ads",84
shark hyperair hair dryer attachments,Transactional,50,"0.18,0.18,0.18,1.00,0.45,0.81,0.36,0.36,0.45,0.45,1.00,0.81",18,0.29,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",107000
shark hair dryer hyperair,Transactional,40,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.81",33,0.85,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",97
shark hyperair hair dryer with diffuser,"Informational, Transactional",40,"0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.78,1.00,0.21",32,0.63,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products, Shopping ads",57
dyson hair dryer vs shark hyperair,Commercial,30,"0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,1.00,1.00,0.17",33,0.68,0.98,"Reviews, Image, Image pack, Video, People also ask, Related searches",76
shark hyperair ionic hair dryer,Transactional,30,"0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,1.00,1.00,0.17",38,0.55,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",72
dyson supersonic hair dryer vs shark hyper air,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
