Category: All categories

Region,Smart TVs: (4/16/23 - 4/16/24)
North Dakota,100
Mississippi,85
South Dakota,83
Delaware,82
West Virginia,75
Michigan,75
Missouri,75
Maine,74
Ohio,72
Kentucky,72
Iowa,68
Wisconsin,68
South Carolina,68
Arkansas,68
Louisiana,67
Indiana,67
Alabama,67
North Carolina,67
Pennsylvania,66
Tennessee,64
Alaska,63
Oklahoma,62
Minnesota,60
Nebraska,59
Illinois,58
Connecticut,58
Maryland,56
Oregon,56
Georgia,56
New York,56
New Hampshire,56
Florida,55
New Jersey,54
Vermont,54
Rhode Island,54
Massachusetts,52
Kansas,51
Arizona,48
Nevada,48
Virginia,48
Texas,47
New Mexico,47
Idaho,47
District of Columbia,45
Washington,45
Colorado,44
California,39
Hawaii,39
Montana,36
Utah,36
Wyoming,1
