Category: All categories

Week,Smart TVs: (United States)
2023-04-16,35
2023-04-23,45
2023-04-30,43
2023-05-07,41
2023-05-14,37
2023-05-21,46
2023-05-28,46
2023-06-04,43
2023-06-11,46
2023-06-18,52
2023-06-25,45
2023-07-02,49
2023-07-09,57
2023-07-16,48
2023-07-23,48
2023-07-30,47
2023-08-06,49
2023-08-13,44
2023-08-20,46
2023-08-27,51
2023-09-03,62
2023-09-10,50
2023-09-17,48
2023-09-24,47
2023-10-01,49
2023-10-08,47
2023-10-15,42
2023-10-22,43
2023-10-29,46
2023-11-05,54
2023-11-12,58
2023-11-19,100
2023-11-26,72
2023-12-03,48
2023-12-10,52
2023-12-17,56
2023-12-24,63
2023-12-31,54
2024-01-07,54
2024-01-14,47
2024-01-21,43
2024-01-28,39
2024-02-04,44
2024-02-11,39
2024-02-18,39
2024-02-25,45
2024-03-03,40
2024-03-10,39
2024-03-17,37
2024-03-24,39
2024-03-31,37
2024-04-07,34
2024-04-14,35
