Category: All categories

Region,Smartwatches: (4/16/23 - 4/16/24)
North Dakota,100
Kansas,67
Maine,64
Mississippi,60
Utah,60
Montana,57
New York,57
Iowa,57
Michigan,57
Delaware,57
Tennessee,53
Ohio,53
Indiana,53
Louisiana,53
Oregon,53
New Mexico,53
West Virginia,53
Minnesota,50
Arizona,50
Washington,50
Wisconsin,50
North Carolina,50
Pennsylvania,50
Virginia,50
Nebraska,50
South Carolina,50
Alabama,50
New Jersey,46
Oklahoma,46
Massachusetts,46
Georgia,46
Colorado,46
Connecticut,46
Maryland,46
Missouri,42
Illinois,42
Texas,39
Florida,39
Nevada,39
Arkansas,39
California,39
Kentucky,35
Idaho,35
South Dakota,<1
Vermont,<1
New Hampshire,<1
Alaska,
Rhode Island,
Hawaii,
District of Columbia,
Wyoming,
