Category: All categories

Week,Smartwatches: (United States)
2023-04-16,74
2023-04-23,78
2023-04-30,66
2023-05-07,74
2023-05-14,71
2023-05-21,71
2023-05-28,57
2023-06-04,74
2023-06-11,70
2023-06-18,70
2023-06-25,77
2023-07-02,67
2023-07-09,69
2023-07-16,59
2023-07-23,73
2023-07-30,54
2023-08-06,63
2023-08-13,55
2023-08-20,54
2023-08-27,49
2023-09-03,69
2023-09-10,66
2023-09-17,63
2023-09-24,62
2023-10-01,60
2023-10-08,75
2023-10-15,73
2023-10-22,62
2023-10-29,60
2023-11-05,100
2023-11-12,67
2023-11-19,92
2023-11-26,83
2023-12-03,71
2023-12-10,60
2023-12-17,100
2023-12-24,87
2023-12-31,88
2024-01-07,50
2024-01-14,77
2024-01-21,50
2024-01-28,81
2024-02-04,75
2024-02-11,62
2024-02-18,69
2024-02-25,79
2024-03-03,44
2024-03-10,66
2024-03-17,52
2024-03-24,56
2024-03-31,54
2024-04-07,53
2024-04-14,54
