Category: All categories
"Squishmallows: (4/16/23 - 4/16/24, United States)"

TOP
Squishmallows,100
McDonald's,5
McDonald's,5
Halloween,4
Stuffed toy,4
Toy,2
Meal,2
Happy Meal,2
Washing,2
Five Below,2
Five Below,1
Disney,1
Cattle,1
Harry Potter,1
Happy Meal Toys,1
Advent calendar,<1
Advent,<1
Boycott,<1
Jellycat,<1
Jazwares,<1
Dog Bed,<1
Snorlax,<1
Build-A-Bear,<1
Heating pad,<1

RISING
Happy Meal Toys,Breakout
Boycott,Breakout
Christmas Squishmallows,Breakout
"""Squishmallows 10"""" Gigi The Cat Plush Officially Licensed 2024 Kellytoy",Breakout
Squishmallows Ronnie the Cow,Breakout
Happy Meal,Breakout
McDonald's,Breakout
McDonald's,Breakout
Meal,"+4,350%"
Squishmallows Avery the Mallard Duck,"+2,500%"
Heating pad,"+2,300%"
Squishmallows Scented Mystery Squad,"+2,100%"
Advent,+500%
Advent calendar,+450%
Jazwares,+350%
Sanrio Gift Gate,+300%
Jellycat,+300%
Harry Potter,+250%
Cinnamoroll,+250%
Dog Bed,+250%
Snorlax,+150%
Build-A-Bear,+130%

