Category: All categories

Region,Stanley Adventure Quencher: (4/16/23 - 4/16/24)
Alabama,100
Missouri,100
Kentucky,85
Oklahoma,85
Indiana,85
Texas,71
Connecticut,71
Massachusetts,71
Georgia,71
New Jersey,71
Louisiana,71
Florida,57
Utah,57
Minnesota,57
California,57
North Carolina,57
Pennsylvania,57
Wisconsin,57
New York,57
Illinois,42
Washington,42
Ohio,42
Arizona,28
Virginia,28
Michigan,28
Alaska,
Wyoming,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
Maine,
New Mexico,
Nevada,
Maryland,
Kansas,
Idaho,
Oregon,
Iowa,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Colorado,
Arkansas,
West Virginia,
Montana,
