Category: All categories

Region,Lululemon Everywhere Belt Bag: (4/16/23 - 4/16/24)
Hawaii,100
Iowa,61
Minnesota,53
Illinois,46
Oklahoma,46
California,46
New Jersey,46
Washington,46
Nevada,46
Wisconsin,42
Missouri,42
Tennessee,42
Michigan,38
Massachusetts,38
Texas,34
Maryland,34
North Carolina,34
Virginia,34
Colorado,34
Ohio,30
New York,30
Florida,30
Alabama,30
Georgia,30
Connecticut,30
Utah,26
Oregon,26
Pennsylvania,26
Arizona,26
Kentucky,23
Indiana,23
Louisiana,23
Kansas,23
South Carolina,19
Mississippi,<1
Alaska,
New Mexico,
New Hampshire,
Nebraska,
Rhode Island,
North Dakota,
South Dakota,
Montana,
Maine,
Idaho,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
