Category: All categories

Region,Summer Fridays Lip Butter Balm: (4/16/23 - 4/16/24)
New Jersey,100
Iowa,93
Minnesota,86
Illinois,73
Maine,73
Utah,73
Pennsylvania,73
New York,66
Nevada,66
Connecticut,66
Mississippi,60
Massachusetts,60
Kansas,60
California,60
Indiana,60
Georgia,53
Maryland,53
Texas,53
Virginia,53
Kentucky,46
Alabama,46
Michigan,46
Tennessee,40
Florida,40
Missouri,40
Washington,40
Wisconsin,40
Ohio,40
Oregon,40
Louisiana,40
Arkansas,40
North Carolina,33
Oklahoma,33
South Carolina,26
Arizona,26
Colorado,20
Hawaii,<1
Alaska,
New Mexico,
Rhode Island,
New Hampshire,
South Dakota,
Nebraska,
North Dakota,
Montana,
Idaho,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
