Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
shop summer fridays lip butter balm,"Informational, Transactional",33100,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00",50,0.52,0.76,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",2290000
summer fridays lip butter balm,"Informational, Transactional",12100,"0.36,0.36,0.44,0.36,0.24,0.36,0.54,0.54,0.54,0.81,1.00,0.44",46,0.40,1.00,"Reviews, Image, Video, People also ask, Related searches, Related products, Shopping ads",1690000
summer friday lip butter balm,"Informational, Transactional",1600,"0.07,0.20,0.10,0.16,0.13,0.16,0.36,0.54,0.65,0.81,1.00,0.54",44,0.40,1.00,"Site links, Reviews, Image, Video, Related searches, Popular products",1860000
summer fridays lip butter balm for hydration,"Informational, Transactional",1000,"0.41,0.54,0.66,0.24,0.54,0.54,0.54,0.00,0.30,1.00,0.30,0.16",44,1.98,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Related products",1080000
summer fridays lip butter balm set,"Informational, Transactional",1000,"0.05,0.05,0.03,0.02,0.03,0.03,0.03,0.10,0.36,1.00,0.81,0.16",29,0.58,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products",98
summer fridays mini lip butter balm set,"Informational, Transactional",590,"0.02,0.45,1.00,0.76,0.10",12,0.70,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products",79
summer fridays the lip butter balm set,"Informational, Transactional",590,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,1.00,0.80,0.03",35,0.58,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Related searches",89
summer fridays the mini lip butter balm set,"Informational, Transactional",590,"0.13,0.13,0.07,0.04,0.10,0.00,0.10,0.00,0.24,1.00,0.79,0.16",27,1.15,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches",82
summer fridays lip butter balm pink sugar,"Informational, Transactional",390,"0.00,0.21,0.39,0.17,0.88,1.00,0.32,0.11,0.05,0.26,0.88,0.17",26,0.78,1.00,"Reviews, Image, Video, Related searches, Popular products",2150000
summer fridays lip butter balm trio,"Informational, Transactional",390,"0.01,0.01,0.01,0.01,0.03,0.16,0.31,0.13,0.25,1.00,0.31,0.13",22,2.29,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches",86
lip butter balm summer fridays,"Informational, Transactional",320,"0.08,0.08,0.10,0.08,0.10,0.08,0.13,0.16,0.24,0.55,1.00,0.45",38,0.43,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Related products",1240000
summer friday cherry lip butter balm,"Informational, Transactional",320,"0.00,0.00,0.04,0.00,0.00,1.00,0.02,0.00,0.00,0.00,0.05,0.04",33,0.40,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",2170000
summer fridays lip butter balm - pink sugar,Transactional,320,"0.00,0.32,0.39,0.32,0.72,0.00,0.07,0.01,0.14,0.39,1.00,0.26",34,0.78,1.00,"Reviews, Image, Video, Related searches, Popular products",2070000
summer fridays lip butter balm vanilla beige,"Informational, Transactional",320,"0.23,0.15,0.15,0.10,0.54,0.54,0.44,0.19,0.19,0.44,1.00,0.29",34,0.72,0.99,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",0
summer fridays lip butter balm cherry,Transactional,260,"0.00,0.11,0.11,0.02,1.00,0.59,0.39,0.21,0.11,0.26,0.39,0.11",19,0.65,1.00,"Reviews, Image, Video, Related searches, Popular products",2420000
summer fridays lip butter balm for hydration & shine,"Informational, Transactional",260,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.62,1.00,0.36",43,1.04,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",796000
