Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
the five minute journal,Informational,3600,"0.55,0.43,0.36,0.27,0.36,0.36,0.55,0.43,0.55,0.66,1.00,1.00",30,0.49,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches",222000000
shop the five minute journal,Transactional,1600,"0.66,0.66,0.45,0.45,0.45,0.55,0.66,0.55,0.55,1.00,0.83,0.00",11,0.49,1.00,"Reviews, Image, Image pack, Related searches, Popular products",37100000
the five minute journal español pdf,"Informational, Transactional",390,"0.15,0.15,0.36,0.36,0.19,0.12,0.54,0.66,0.81,0.81,0.54,1.00",12,0.00,0.17,"Reviews, Image, Image pack, Video, Related searches",69
the five-minute journal,"Informational, Transactional",210,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",20,0.49,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches",250000000
the five minute journal pdf,"Informational, Transactional",140,"1.00,0.79,0.66,0.52,0.66,0.66,0.66,0.79,0.52,0.66,0.66,1.00",22,0.74,0.79,"Site links, Reviews, Related searches",193000000
intelligent change the five minute journal,"Informational, Transactional",90,"0.79,0.64,1.00,0.64,0.13,0.49,0.49,0.49,0.36,0.79,1.00,0.49",28,0.97,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches",18500000
the five minute journal amazon,Transactional,70,"1.00,0.80,0.40,0.40,0.27,0.60,0.60,0.40,0.40,0.60,1.00,1.00",35,0.59,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",18500000
the five minute journal by intelligent change,"Informational, Transactional",50,"0.25,1.00,1.00,0.18,0.25,0.18,0.61,0.43,0.00,1.00,1.00,0.07",45,0.97,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches",19100000
the five minute journal intelligent change,"Informational, Transactional",50,"0.17,0.17,0.17,0.17,0.17,0.17,0.62,0.45,0.45,0.81,1.00,0.62",19,0.97,1.00,"Site links, Reviews, Image, Image pack, Video, Related searches, Shopping ads",25700000
the five minute journal barnes and noble,Navigational,40,"0.64,0.64,0.27,0.36,0.45,0.45,0.18,0.18,0.18,0.18,1.00,0.18",19,0.00,0.97,"Reviews, Image, Image pack, Video, Related searches, Popular products",1280000
the five minutes journal,Transactional,30,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",50,0.49,1.00,"Site links, Reviews, Image, Image pack, Video carousel, People also ask, Related searches, Popular products",397000000
buy the five minute journal,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
five minutes in the morning a focus journal,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
five minutes in the morning journal,,20,"1.00,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,0.00,1.00,,
is the five minute journal worth it,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute gratitude journal,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.65,1.00,,
the five minute journal 2023,,20,"0.33,0.33,0.33,1.00,0.33,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0.00,1.00,,
the five minute journal alex ikonn,,20,"1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal app,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.09,,
the five minute journal author,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal black,,20,"1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal book,,20,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.67,,
the five minute journal creator,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.89,,
the five minute journal español,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal español pdf gratis,,20,"1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.76,,
the five minute journal examples,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.78,,
the five minute journal fit edition,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.67,1.00,,
the five minute journal free pdf,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
the five minute journal green,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal instagram,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal ipad,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal near me,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.97,,
the five minute journal online,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00",,0.00,0.29,,
the five minute journal pdf download,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00",,0.00,0.00,,
the five minute journal pdf free,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.10,,
the five minute journal pdf free download,,20,"1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
the five minute journal pink,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.44,0.98,,
the five minute journal questions,,20,"1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.60,,
the five minute journal reddit,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.06,,
the five minute journal review,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,1.13,0.99,,
the five minute journal sims 4,,20,"0.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
the five minute journal target,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.97,,
the five minute journal template,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.95,,
the five minute journal urban outfitters,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal vs the gratitude journal,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal wellbeing,,20,"1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal where to buy,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute paperback journal,,20,"0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,1.00,,
what is the five minute journal,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.55,0.97,,
where can i buy the five minute journal,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00",,0.00,1.00,,
where to buy the five minute journal,,20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
who created the five minute journal,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.01,,
five minutes in the morning a focus journal pdf,,10,"1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",,0.00,0.57,,
five minutes in the morning focus journal,,10,"1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00",,0.00,0.00,,
the five minute journal a happier you,,10,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00",,0.00,0.00,,
the five minute journal australia,,10,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute journal blush,,10,"1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
the five minute journal buy,,10,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00",,0.00,0.00,,
the five minute journal discount code,,10,"1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00",,0.00,0.00,,
the five minute journal epub,,10,"1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00",,0.00,0.00,,
the five minute journal indigo,,10,"0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00",,0.00,1.00,,
the five minute journal paperback,,10,"1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00",,0.00,1.00,,
the five minute journal tim ferriss,,10,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00",,0.00,1.00,,
the five minute journal uk,,10,"1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00",,0.00,1.00,,
the five minute mindfulness journal,,10,"1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00",,0.00,1.00,,
the five-minute journal by intelligent change,,10,"0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.00,1.00,0.33,0.00",,0.97,1.00,,
amazon the five minute journal,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.73,1.00,,
app for the five minute journal by intelligent change,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
benefits of the five minute journal,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
does the five minute journal help a person with depression,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
five minute journal why you'll the wrong person,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
five minute journal you're marrying the wrong person,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
five minute me the happiness journal,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
five minute paperback journal vs the hardcover,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
five minutes in the morning: a focus journal,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,1.00,,
